Country_Year,Country,GeogLoc,IncomeLevel,Year,Domestic_Credit,Corruption_Estimate,Government_Effectiveness,High_Tech_Export_Percentage,MarketCap,Non.performing.Loans,PatentNonResidents,PatentResidents,R.D_Percentage,Trade_Percentage,GDP.per.capita,GDP.constant,Z_Score,AI.Patent.Applications,AI.Publications,AI.Investment,Total_Patents,Patents_per_GDP,AI_Investment_per_GDP,log_Patents_per_GDP,log_RD_Percentage,log_High_Tech_Export,log_GDP_per_Capita,log_Trade_Percentage,log_Credit_Private_Sector,log_AI_Investment_per_GDP,log_AI_Publications,log_Non.performing.Loans
Argentina-2013,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2013,15.56545554,-0.434306711,-0.254236966,7.458207449,9.619994839,1.53372871,4129,643,0.618489981,29.333929,13946.09508,5.93859E+11,7.65534,0.02348385,181,1163174,4772,8.04E-09,1.96E-06,8.04E-09,0.481493604,2.135137266,9.543026528,3.412266855,2.807319535,1.96E-06,5.204006687,0.929692016
Argentina-2016,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2016,13.49652679,-0.299235553,0.218796372,8.98239948,11.40761061,1.700277506,2925,884,0.558149993,26.09388785,13265.88606,5.82377E+11,7.426713,0.022778882,215,1129007,3809,6.54E-09,1.94E-06,6.54E-09,0.443499216,2.30082349,9.49302644,3.299308162,2.673909089,1.94E-06,5.375278408,0.993354548
Argentina-2017,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2017,15.72126916,-0.309002459,0.135085613,9.20544177,16.89484975,1.734799284,3050,393,0.556309998,25.28960114,13520.11298,5.98791E+11,7.50613,0.022579022,233,5527297,3443,5.75E-09,9.23E-06,5.75E-09,0.442317633,2.322921085,9.512007668,3.269173467,2.816681512,9.23E-06,5.455321115,1.006058045
Argentina-2018,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2018,15.37632656,-0.099273928,0.028060619,5.402984101,8.762253617,2.957785514,3242,425,0.488299996,30.76253595,13058.32854,5.83118E+11,7.21939,0.1567578,271,1079101,3667,6.29E-09,1.85E-06,6.29E-09,0.397634526,1.856764148,9.477257988,3.458287481,2.795836789,1.85E-06,5.605802066,1.375684655
Argentina-2019,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2019,12.77894825,-0.107116245,-0.120795332,5.212790589,8.798018523,5.702914714,3260,442,0.478130013,32.63061505,12706.39781,5.71451E+11,9.317062,0.17788266,222,3179682,3702,6.48E-09,5.56E-06,6.48E-09,0.390777784,1.826610165,9.449939608,3.515436814,2.623141938,5.56E-06,5.407171771,1.902542464
Argentina-2020,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2020,13.4554773,-0.163570061,-0.254261822,6.903889256,8.360651602,4.150064003,2562,930,0.541540027,30.20369881,11393.0506,5.14874E+11,9.249464,0.2212783,324,26174463,3492,6.78E-09,5.08E-05,6.78E-09,0.432781934,2.067354949,9.340846621,3.440536639,2.671073395,5.08E-05,5.783825182,1.639009142
Argentina-2021,Argentina,Latin_America_and_the_caribbean,Upper-middle_income_economy,2021,11.27270763,-0.422596842,-0.390557259,4.422891393,8.580816227,4.292112906,3263,406,0.517639995,33.07868957,12549.28117,5.68637E+11,9.083421,0.13241443,315,1.70E+07,3669,6.45E-09,2.99E-05,6.45E-09,0.417156493,1.69062914,9.437498348,3.52867225,2.507377905,2.99E-05,5.755742214,1.666217581
Australia-2013,Australia,East_Asia_and_Pacific,High-Income_Economy,2013,124.7040749,1.777833104,1.632453084,18.00751438,86.61073643,1.365174882,26656,3061,2.17843008,41.27287902,55728.0174,1.28888E+12,13.73787,3.3137848,2266,1163174,29717,2.31E-08,9.02E-07,2.31E-08,1.156387389,2.944834395,10.92825625,3.744145722,4.833930533,9.02E-07,7.726212651,0.860851965
Australia-2015,Australia,East_Asia_and_Pacific,High-Income_Economy,2015,136.3539739,1.841308117,1.533252478,19.69214725,87.84774934,0.888725499,26314,2291,1.920709968,41.66393193,56739.02653,1.3513E+12,13.33152,5.3031573,2607,92603272,28605,2.12E-08,6.85E-05,2.12E-08,1.071826726,3.029754269,10.94623518,3.753353878,4.922561344,6.85E-05,7.866338923,0.635902262
Australia-2017,Australia,East_Asia_and_Pacific,High-Income_Economy,2017,140.6690876,1.752974749,1.498386025,18.09679246,113.7962081,0.85701375,26403,2503,1.879770041,42.20373168,57750.64822,1.42024E+12,13.63942,11.645283,2990,46429296,28906,2.04E-08,3.27E-05,2.04E-08,1.057710444,2.949520387,10.96390717,3.765926873,4.953493969,3.27E-05,8.003363059,0.618969687
