Country,Year,total,life,social,physical,health,ai_primario,ai_qualquer,ai_todos
Argentina,2008,11897,2542,2833,4248,2264,87,205,348
Argentina,2009,13219,2860,3215,4671,2464,76,251,388
Argentina,2010,14602,2942,3987,4899,2767,106,287,455
Argentina,2011,16029,3184,4744,5061,3035,104,257,462
Argentina,2012,17412,3303,5629,5394,3076,95,261,456
Argentina,2013,19237,3287,6690,6002,3250,111,302,486
Argentina,2014,20350,3546,7236,6036,3516,136,340,570
Argentina,2015,21282,3739,7669,6169,3692,110,287,498
Argentina,2016,22784,3834,8849,6242,3851,105,300,514
Argentina,2017,23707,4038,9091,6242,4321,91,293,490
Argentina,2018,25959,4343,10009,6950,4643,92,313,529
Argentina,2019,25953,4186,10257,6868,4630,128,336,511
Argentina,2020,30113,4666,11865,7690,5871,121,382,623
Argentina,2021,28548,4302,10967,7216,6052,128,364,593
Australia,2008,54064,9197,11873,16291,16640,577,1474,3196
Australia,2009,58962,9718,12984,17748,18446,594,1522,3223
Australia,2010,63525,10369,14138,19006,19946,608,1622,3732
Australia,2011,68771,10546,15626,21063,21464,672,1693,3698
Australia,2012,74180,11487,16537,23258,22856,767,1902,3854
Australia,2013,81759,12622,18174,25610,25301,770,2060,4086
Australia,2014,86508,13512,18902,28013,26043,878,2222,4407
Australia,2015,91362,13929,19928,29094,28356,882,2371,4562
Australia,2016,93975,14188,20147,30639,28956,915,2350,4674
Australia,2017,96726,14124,20858,31364,30311,966,2510,4954
Australia,2018,99499,14151,20832,33520,30956,1060,2794,5544
Australia,2019,105686,15070,21768,35995,32814,1184,3079,6362
Australia,2020,114706,16100,23358,38997,36218,1399,3593,7267
Australia,2021,117770,16710,24702,39058,37263,1635,3975,7655
Austria,2008,16472,3020,2019,5598,5813,222,443,1024
Austria,2009,17530,3224,2157,6044,6085,228,480,1231
Austria,2010,17771,3298,2359,6350,5752,236,531,1290
Austria,2011,18542,3247,2596,6860,5819,233,545,1359
Austria,2012,19206,3421,2696,7081,5979,229,562,1407
Austria,2013,20792,3732,3045,7483,6512,256,624,1528
Austria,2014,21905,3906,3228,8105,6654,290,651,1633
Austria,2015,22831,4117,3473,8316,6903,272,682,1672
Austria,2016,24550,4259,4045,9164,7067,306,737,1692
Austria,2017,24290,4309,3995,8995,6954,310,683,1684
Austria,2018,25419,4203,4404,9561,7237,363,822,2016
Austria,2019,26431,4272,4571,9952,7613,335,782,1987
Austria,2020,29996,4653,5517,10739,9062,407,903,2239
Austria,2021,31665,4926,6176,11181,9371,459,1081,2670
Belgium,2008,24665,4790,4456,7782,7604,223,564,1369
Belgium,2009,25855,4837,4717,8108,8170,229,510,1420
Belgium,2010,27320,4934,5503,8605,8255,260,673,1577
Belgium,2011,28715,5229,5878,9051,8523,274,662,1625
Belgium,2012,30467,5638,6244,9621,8945,316,721,1776
Belgium,2013,32400,5800,6812,10004,9766,295,702,1667
Belgium,2014,34344,6073,7132,10701,10403,293,719,1719
Belgium,2015,35242,6254,7459,10893,10619,302,704,1666
Belgium,2016,36522,6258,8043,11164,11024,310,728,1750
Belgium,2017,36581,6061,7906,11221,11368,301,764,1702
Belgium,2018,37723,6201,8290,11371,11831,291,778,1863
Belgium,2019,38196,6219,8109,11726,12125,344,830,2058
Belgium,2020,41761,6668,8375,12808,13900,379,934,2155
Belgium,2021,42745,6932,8614,13011,14176,399,999,2260
Brazil,2008,63893,12975,18448,15306,17103,410,982,2047
Brazil,2009,70154,14106,20383,16574,19028,460,1091,2204
Brazil,2010,78468,14942,23851,17976,21628,476,1155,2265
Brazil,2011,88638,16924,27729,20056,23817,571,1415,2606
Brazil,2012,105802,18679,36561,23225,27183,567,1467,2864
Brazil,2013,115049,19989,40297,25581,29038,679,1602,3012
Brazil,2014,128008,22756,44984,28513,31605,678,1744,3277
Brazil,2015,137234,23472,50508,30841,32255,755,1915,3619
Brazil,2016,155908,24789,61867,34806,34274,769,2043,3813
Brazil,2017,168276,26063,68108,36943,36999,893,2210,3860
Brazil,2018,178354,27832,71362,41094,37894,859,2395,4568
Brazil,2019,187660,28410,74973,43590,40481,969,2628,4872
Brazil,2020,218893,32845,87271,50013,48581,1085,2978,5302
Brazil,2021,209785,29334,82819,47045,50374,1000,2837,5098
Bulgaria,2008,3341,706,373,1605,653,57,112,236
Bulgaria,2009,3821,913,425,1813,665,65,133,227
Bulgaria,2010,3772,825,461,1750,730,68,143,259
Bulgaria,2011,3916,857,529,1798,725,42,101,221
Bulgaria,2012,4231,823,596,2011,796,62,133,266
Bulgaria,2013,4794,957,670,2177,986,64,176,262
Bulgaria,2014,5374,1132,783,2284,1168,66,164,295
Bulgaria,2015,5810,1142,991,2328,1329,73,179,315
Bulgaria,2016,5757,1136,888,2329,1403,67,140,323
Bulgaria,2017,6251,1142,1148,2462,1488,83,172,357
Bulgaria,2018,6827,1223,1225,2569,1777,112,212,439
Bulgaria,2019,7298,1317,1424,2766,1759,102,216,558
Bulgaria,2020,8276,1476,1672,2962,2138,118,265,592
Bulgaria,2021,8641,1570,1897,2994,2150,125,262,600
Chile,2008,8151,1147,2351,2727,1923,52,130,268
Chile,2009,9285,1275,2730,3220,2057,75,172,325
Chile,2010,11340,1699,3633,3468,2531,82,185,343
Chile,2011,12802,1609,4801,3724,2653,78,183,380
Chile,2012,12434,1603,4183,3951,2685,93,194,386
Chile,2013,13666,1773,4728,4233,2923,76,216,397
Chile,2014,14962,1878,5217,4719,3138,119,296,508
Chile,2015,17333,2086,6209,5303,3732,120,293,537
Chile,2016,19957,2264,8037,5783,3860,125,304,554
Chile,2017,19367,2299,6750,5917,4373,114,299,501
Chile,2018,20825,2535,7277,6660,4336,153,340,624
Chile,2019,22417,2641,8153,6963,4648,153,376,661
Chile,2020,24921,2907,8664,7832,5514,167,436,741
Chile,2021,25693,2915,9053,8093,5623,181,454,787
China,2008,413909,52515,68354,236904,56089,11691,24257,34233
China,2009,449341,59417,72466,252449,64977,11620,24761,38093
China,2010,490680,65649,76068,276463,72459,11724,25006,39883
China,2011,549561,73572,79302,315511,81132,11798,25705,36939
China,2012,515020,73896,60494,298675,81920,10169,22375,32752
China,2013,538031,81812,52955,310514,92717,9771,21878,30641
China,2014,518854,84273,45738,296194,92615,8813,20283,29011
China,2015,448542,78139,39912,247444,82988,6488,14979,25004
China,2016,375523,68643,20332,214865,71629,4729,11093,22495
China,2017,413155,76650,20851,234385,81222,5372,12506,24875
China,2018,476867,86522,25476,276888,87920,6575,15568,31390
China,2019,549979,99014,30968,321845,98098,8413,19574,39033
China,2020,611837,109321,38538,352872,111066,10220,23841,46074
China,2021,673900,118484,46547,389650,119148,12549,28517,56614
Colombia,2008,9723,1450,3803,2209,2255,66,149,230
Colombia,2009,11867,1804,4779,2792,2478,74,163,259
Colombia,2010,14138,2086,5888,3246,2906,70,180,284
Colombia,2011,16042,2309,6865,3652,3204,80,211,342
Colombia,2012,17805,2533,7103,4092,4056,101,233,411
Colombia,2013,20127,2627,8535,4645,4288,141,299,463
Colombia,2014,20755,2649,8591,4846,4638,125,280,461
Colombia,2015,21890,2699,9031,4805,5321,111,268,493
Colombia,2016,22686,2876,9160,5269,5343,90,241,417
Colombia,2017,24673,3122,9834,5728,5955,86,238,455
Colombia,2018,24663,3220,9691,5694,6018,117,284,581
Colombia,2019,24860,3220,9516,6004,6089,101,279,601
Colombia,2020,28277,3678,10195,6772,7607,121,343,681
Colombia,2021,29447,3846,10669,7123,7794,136,378,598
Croatia,2008,6089,904,2192,1575,1417,35,69,134
Croatia,2009,6851,1071,2334,1856,1588,52,112,175
Croatia,2010,7382,976,2654,2097,1650,64,128,183
Croatia,2011,7886,1069,2917,2202,1697,50,132,203
Croatia,2012,8316,1084,3037,2381,1813,64,144,238
Croatia,2013,8400,1114,2983,2351,1952,79,165,243
Croatia,2014,8930,1130,3493,2337,1966,66,142,260
Croatia,2015,8983,1065,3574,2317,2023,64,142,265
Croatia,2016,9840,1139,3877,2677,2146,67,165,277
Croatia,2017,9685,1223,3856,2644,1957,62,152,289
Croatia,2018,10540,1188,4344,2885,2117,74,194,329
Croatia,2019,10053,1334,3698,2751,2262,72,181,320
Croatia,2020,10893,1388,3747,3071,2680,104,240,392
Croatia,2021,11472,1458,3845,3335,2829,90,244,412
France,2008,110332,17870,23442,41365,27447,1048,2495,7022
France,2009,114085,18174,24725,42740,28298,1099,2579,7333
France,2010,115185,17776,26193,43764,27342,1156,2621,7810
France,2011,122417,18610,28237,45958,29511,1177,2769,8335
France,2012,129601,19438,31151,46941,31977,1308,3011,8767
France,2013,137087,19937,34713,48525,33787,1302,3000,9034
France,2014,141499,20595,34218,50524,36025,1330,3176,9717
France,2015,143685,20943,36366,51050,35190,1323,3309,9763
France,2016,149050,21358,38314,51366,37876,1202,2987,9608
France,2017,148703,20819,38744,50752,38272,1220,3030,9513
France,2018,152961,20744,41439,51557,39116,1318,3288,10315
France,2019,152225,20987,40921,51808,38403,1354,3323,10999
France,2020,161063,21841,41040,54657,43404,1533,3670,10940
France,2021,159535,21694,42146,53176,42425,1661,3871,11541
Greece,2008,14315,2123,1598,5372,5204,230,493,1163
Greece,2009,14332,1966,1664,5212,5481,187,436,1133
Greece,2010,14616,2017,1799,5337,5458,194,428,1064
Greece,2011,15215,2078,2012,5524,5593,185,432,1143
Greece,2012,15281,2131,2014,5613,5512,205,484,1157
