indicator,iso3,year,value,ci_lo,ci_hi
wgi.voice_accountability,ABW,2004,64.6071529,51.4349792,77.7793266
wgi.voice_accountability,ABW,2005,75.2980967,62.125923,88.4702704
wgi.voice_accountability,ABW,2006,75.4852946,62.3131209,88.6574683
wgi.voice_accountability,ABW,2007,75.4310911,62.2589174,88.6032648
wgi.voice_accountability,ABW,2008,75.3867783,62.2146046,88.558952
wgi.voice_accountability,ABW,2009,81.1741286,72.4885464,89.8597107
wgi.voice_accountability,ABW,2010,81.1519774,72.4663953,89.8375596
wgi.voice_accountability,ABW,2011,81.1918341,72.5062519,89.8774162
wgi.voice_accountability,ABW,2012,81.1586091,72.473027,89.8441913
wgi.voice_accountability,ABW,2013,81.1096774,72.4240952,89.7952596
wgi.voice_accountability,ABW,2014,81.1623476,72.4767655,89.8479298
wgi.voice_accountability,ABW,2015,81.175695,72.4901129,89.8612772
wgi.voice_accountability,ABW,2016,81.1590694,72.4734873,89.8446516
wgi.voice_accountability,ABW,2017,81.1446159,72.4590337,89.830198
wgi.voice_accountability,ABW,2018,81.6661165,70.921097,92.4111361
wgi.voice_accountability,ABW,2019,81.6547452,70.9097256,92.3997647
wgi.voice_accountability,ABW,2020,81.6387076,70.8936881,92.3837272
wgi.voice_accountability,ABW,2021,73.7033364,62.9583169,84.4483559
wgi.voice_accountability,ABW,2022,73.666779,62.9217594,84.4117985
wgi.voice_accountability,ABW,2023,73.6306066,62.8855871,84.3756261
wgi.voice_accountability,ABW,2024,73.6108253,62.8658057,84.3558448
wgi.voice_accountability,AFG,1996,17.7234054,10.688609,24.7582018
wgi.voice_accountability,AFG,1998,15.579305,8.5445086,22.6141014
wgi.voice_accountability,AFG,2000,16.6312081,9.5964117,23.6660045
wgi.voice_accountability,AFG,2002,32.9747138,27.1167252,38.8327023
wgi.voice_accountability,AFG,2003,34.665645,28.8076564,40.5236335
wgi.voice_accountability,AFG,2004,35.3034357,30.1034444,40.5034269
wgi.voice_accountability,AFG,2005,36.49448,31.2944888,41.6944713
wgi.voice_accountability,AFG,2006,38.5542395,33.5032137,43.6052652
wgi.voice_accountability,AFG,2007,39.5045984,34.5182373,44.4909594
wgi.voice_accountability,AFG,2008,37.5276975,32.5417442,42.5136508
wgi.voice_accountability,AFG,2009,33.480751,28.4947977,38.4667043
wgi.voice_accountability,AFG,2010,32.3815019,27.3955486,37.3674552
wgi.voice_accountability,AFG,2011,34.2998499,29.3138967,39.2858032
wgi.voice_accountability,AFG,2012,34.9529116,29.9669583,39.9388649
wgi.voice_accountability,AFG,2013,35.0040836,30.6654809,39.3426863
wgi.voice_accountability,AFG,2014,35.7773156,31.4387128,40.1159183
wgi.voice_accountability,AFG,2015,35.6729412,31.3343385,40.0115439
wgi.voice_accountability,AFG,2016,35.5574755,31.2188728,39.8960783
wgi.voice_accountability,AFG,2017,35.1510642,30.8124615,39.489667
wgi.voice_accountability,AFG,2018,36.0946059,31.4638656,40.7253462
wgi.voice_accountability,AFG,2019,36.8880743,32.257334,41.5188145
wgi.voice_accountability,AFG,2020,37.9205776,33.2723961,42.5687591
wgi.voice_accountability,AFG,2021,31.8561734,27.2079919,36.5043549
wgi.voice_accountability,AFG,2022,24.6158803,19.9676988,29.2640618
wgi.voice_accountability,AFG,2023,21.1952411,16.5470596,25.8434226
wgi.voice_accountability,AFG,2024,19.2473331,14.5991516,23.8955146
wgi.voice_accountability,AGO,1996,26.2862619,20.7180883,31.8544354
wgi.voice_accountability,AGO,1998,28.1812073,22.6130337,33.7493809
wgi.voice_accountability,AGO,2000,27.4712574,22.1348692,32.8076455
wgi.voice_accountability,AGO,2002,32.6143813,27.8497819,37.3789806
wgi.voice_accountability,AGO,2003,33.9253719,29.2062056,38.6445383
wgi.voice_accountability,AGO,2004,33.8036299,29.6772833,37.9299764
wgi.voice_accountability,AGO,2005,35.6921309,31.6691226,39.7151393
wgi.voice_accountability,AGO,2006,34.7408059,30.7236696,38.7579422
wgi.voice_accountability,AGO,2007,35.2304258,31.2132895,39.247562
wgi.voice_accountability,AGO,2008,37.9874441,34.0853254,41.8895628
wgi.voice_accountability,AGO,2009,37.6967925,33.9173856,41.4761995
wgi.voice_accountability,AGO,2010,37.0960931,32.8901522,41.302034
wgi.voice_accountability,AGO,2011,37.4527361,33.2467952,41.6586769
wgi.voice_accountability,AGO,2012,38.3107343,34.1047935,42.5166752
wgi.voice_accountability,AGO,2013,37.6876527,33.4817119,41.8935936
wgi.voice_accountability,AGO,2014,37.0648827,32.8589418,41.2708235
wgi.voice_accountability,AGO,2015,36.6461199,32.440179,40.8520607
wgi.voice_accountability,AGO,2016,35.9341151,31.5570419,40.3111883
wgi.voice_accountability,AGO,2017,37.0441054,32.7789292,41.3092817
wgi.voice_accountability,AGO,2018,39.2475463,34.6074474,43.8876452
wgi.voice_accountability,AGO,2019,40.4280962,35.7656326,45.0905597
wgi.voice_accountability,AGO,2020,40.437334,35.7570669,45.1176011
wgi.voice_accountability,AGO,2021,39.3728554,35.2401764,43.5055343
wgi.voice_accountability,AGO,2022,38.5050347,34.3723558,42.6377137
wgi.voice_accountability,AGO,2023,38.9803183,34.8476393,43.1129972
wgi.voice_accountability,AGO,2024,38.3159728,34.1832939,42.4486518
wgi.voice_accountability,ALB,1996,42.3908428,36.0358536,48.745832
wgi.voice_accountability,ALB,1998,45.2342657,38.8792764,51.5892549
wgi.voice_accountability,ALB,2000,47.6615336,41.7989314,53.5241358
wgi.voice_accountability,ALB,2002,53.0807312,47.8286648,58.3327976
wgi.voice_accountability,ALB,2003,54.6310229,49.5030982,59.7589477
wgi.voice_accountability,ALB,2004,56.6650362,51.5605,61.7695723
wgi.voice_accountability,ALB,2005,58.6105394,53.6263346,63.5947441
wgi.voice_accountability,ALB,2006,58.9530841,54.3852477,63.5209204
wgi.voice_accountability,ALB,2007,58.5662266,53.9983902,63.1340629
wgi.voice_accountability,ALB,2008,59.870169,55.3023327,64.4380053
wgi.voice_accountability,ALB,2009,59.562827,54.9949907,64.1306634
wgi.voice_accountability,ALB,2010,59.0736552,54.6728451,63.4744653
wgi.voice_accountability,ALB,2011,56.7638535,52.8273757,60.7003313
wgi.voice_accountability,ALB,2012,55.8469156,51.9104378,59.7833934
wgi.voice_accountability,ALB,2013,55.7711841,51.7165295,59.8258387
wgi.voice_accountability,ALB,2014,58.5717241,54.5416045,62.6018437
wgi.voice_accountability,ALB,2015,58.1856874,54.1555678,62.2158071
wgi.voice_accountability,ALB,2016,58.140734,54.0991363,62.1823318
wgi.voice_accountability,ALB,2017,58.7177229,54.6761251,62.7593206
wgi.voice_accountability,ALB,2018,59.2204451,54.9458682,63.495022
wgi.voice_accountability,ALB,2019,58.5428607,54.2682839,62.8174376
wgi.voice_accountability,ALB,2020,57.8200814,53.5455046,62.0946583
wgi.voice_accountability,ALB,2021,56.8421631,52.5675863,61.11674
wgi.voice_accountability,ALB,2022,57.2723796,52.9978027,61.5469564
wgi.voice_accountability,ALB,2023,56.2122608,51.9040074,60.5205142
wgi.voice_accountability,ALB,2024,56.6319145,52.3236611,60.9401679
wgi.voice_accountability,AND,1996,83.8372793,75.1967538,92.4778048
wgi.voice_accountability,AND,1998,83.8135372,75.1730117,92.4540627
wgi.voice_accountability,AND,2000,83.8269021,75.1863766,92.4674276
wgi.voice_accountability,AND,2002,82.314274,73.6737485,90.9547995
wgi.voice_accountability,AND,2003,80.9372254,72.2966999,89.5777509
wgi.voice_accountability,AND,2004,79.5575077,70.9169822,88.1980332
