Country_Year,Country,Year,zero_inv,pop_mi,v2_bcc_S,v2_bcc_T,v2_bcc_ST,v2_ccr_S,v2_ccr_T,v2_gap,intensiva_S,intensiva_T,extensiva_S,extensiva_T,conversao_ext,conversao_pc,agrupada_S,agrupada_T,super_crs_T,super_crs_ST
Argentina-2013,Argentina,2013,FALSE,42.582,0.1987,0.0387,0.1987,0.0941,0.0158,-0.1599,0.1616,0.0276,0.2321,0.0339,0.0691,0.0814,0.1524,0.006,0.0158,0.0941
Argentina-2016,Argentina,2016,FALSE,43.9,0.2741,0.0261,0.2741,0.2,0.0139,-0.248,0.0749,0.0214,0.2516,0.1019,0.1189,0.1852,0.1904,0.0062,0.0139,0.2012
Argentina-2017,Argentina,2017,FALSE,44.289,0.2691,0.012,0.2691,0.2682,0.0068,-0.257,0.1046,0.0237,0.2438,0.0291,0.0486,1,0.1266,0.0032,0.0068,0.2682
Argentina-2018,Argentina,2018,FALSE,44.655,0.3017,0.0724,0.3065,0.2977,0.0253,-0.2293,0.1388,0.2447,0.2875,0.4056,0.4661,0.4687,0.2559,0.0468,0.0253,0.3054
Argentina-2019,Argentina,2019,FALSE,44.973,0.3712,0.0348,0.3824,0.2569,0.0273,-0.3364,0.3744,0.6012,0.3712,0.5592,0.5592,1,0.1582,0.0315,0.0273,0.2641
Argentina-2020,Argentina,2020,FALSE,45.192,0.2246,0.1549,0.2535,0.2051,0.1344,-0.0697,0.1171,0.0659,0.2028,0.065,0.1297,1,0.0636,0.022,0.1344,0.2256
Argentina-2021,Argentina,2021,FALSE,45.312,0.423,0.0415,0.4306,0.3773,0.0262,-0.3815,0.176,0.1035,0.4121,0.1019,1,1,0.0866,0.0159,0.0262,0.3944
Australia-2013,Australia,2013,FALSE,23.128,1,1,1,1,1,0,1,1,1,1,1,1,1,0.5763,2.3314,3.0968
Australia-2015,Australia,2015,FALSE,23.816,0.6767,1,1,0.5013,1,0.3233,0.955,1,0.6767,0.4965,0.4965,1,0.1553,0.1859,2.2256,2.2256
Australia-2017,Australia,2017,FALSE,24.593,1,1,1,1,1,0,0.533,1,1,1,1,1,0.3197,0.5321,1.2583,1.995
Australia-2019,Australia,2019,FALSE,25.335,1,1,1,0.7124,0.8856,0,0.6702,0.8853,1,0.3982,0.3982,0.8853,0.2006,0.4159,0.8856,1.1405
Austria-2013,Austria,2013,FALSE,8.48,0.2688,0.1369,0.2688,0.2589,0.1178,-0.1319,0.789,0.1379,0.4369,0.0576,0.0715,0.1468,0.2688,0.0454,0.1178,0.2589
Austria-2014,Austria,2014,FALSE,8.546,0.3524,0.2692,0.3785,0.2716,0.2473,-0.0831,0.985,0.0634,0.3524,0.0346,0.0346,0.0634,0.2206,0.0144,0.2473,0.3582
Austria-2015,Austria,2015,FALSE,8.643,0.7225,0.895,0.9274,0.6353,0.5465,0.1725,1,0.3505,0.7225,0.1478,0.1478,0.3505,0.3333,0.0434,0.5465,0.7229
Austria-2016,Austria,2016,FALSE,8.737,0.596,0.3182,0.8221,0.4996,0.2134,-0.2778,0.5088,0.2818,0.596,0.295,0.295,0.4175,0.3069,0.0779,0.2134,0.6589
Austria-2017,Austria,2017,FALSE,8.798,0.6332,0.1754,0.6332,0.5032,0.1084,-0.4578,0.4899,0.115,0.6332,0.1113,0.126,0.1194,0.2067,0.0717,0.1084,0.5569
Austria-2018,Austria,2018,FALSE,8.841,0.4959,0.0864,0.5409,0.1909,0.0346,-0.4095,0.698,0.0577,0.4959,0.045,0.0489,0.0577,0.0945,0.0572,0.0346,0.2099
Austria-2019,Austria,2019,FALSE,8.88,0.5455,0.0367,0.5455,0.1936,0.0158,-0.5089,0.5378,0.0207,0.5455,0.0108,0.0108,0.0207,0.0696,0.0223,0.0158,0.1973
Austria-2020,Austria,2020,FALSE,8.917,0.4999,0.2379,0.6313,0.1762,0.2328,-0.262,1,0.0363,0.4999,0.0165,0.0165,0.0363,0.0599,0.046,0.2328,0.2759
Austria-2021,Austria,2021,FALSE,8.956,0.5678,0.0294,0.5678,0.2228,0.0293,-0.5384,1,0.0261,0.5836,0.0141,0.0141,0.0261,0.0714,0.0285,0.0293,0.2328
Belgium-2013,Belgium,2013,FALSE,11.159,0.2659,0.0242,0.2659,0.2631,0.0226,-0.2418,0.7128,0.0255,0.4484,0.0093,0.014,0.0287,0.2659,0.0055,0.0226,0.2631
Belgium-2016,Belgium,2016,FALSE,11.331,0.2877,0.0308,0.298,0.1218,0.0218,-0.2569,0.3836,0.0204,0.2906,0.0128,0.0144,0.0204,0.0663,0.0067,0.0218,0.1282
Belgium-2017,Belgium,2017,FALSE,11.375,0.2224,0.0089,0.2224,0.1354,0.0072,-0.2135,0.3354,0.0087,0.321,0.003,0.0049,0.0087,0.0397,0.003,0.0072,0.1354
Belgium-2018,Belgium,2018,FALSE,11.427,0.6018,0.0451,0.6181,0.2469,0.0193,-0.5567,0.6999,0.0449,0.6018,0.0348,0.0357,0.0449,0.1263,0.0315,0.0193,0.2541
Brazil-2013,Brazil,2013,FALSE,198.478,0.8647,0.1089,0.8647,0.6186,0.0877,-0.7558,0.1955,0.2057,0.6641,0.4986,0.6046,0.4494,0.7489,0.0247,0.0877,0.6186
Brazil-2014,Brazil,2014,FALSE,200.085,0.5423,0.0962,0.5706,0.5384,0.0926,-0.4462,0.1458,0.1573,0.5314,0.3084,0.3084,0.1821,0.317,0.009,0.0926,0.5646
Brazil-2015,Brazil,2015,FALSE,201.675,0.4062,0.082,0.4062,0.3893,0.0756,-0.3242,0.1061,0.1317,0.4234,0.1575,0.2201,0.2597,0.1102,0.008,0.0756,0.3893
Brazil-2016,Brazil,2016,FALSE,203.218,1,0.1044,1,0.7517,0.1034,-0.8956,0.0434,0.1111,1,1,1,0.8478,0.4636,0.0224,0.1034,0.7826
Brazil-2017,Brazil,2017,FALSE,204.703,0.7155,0.0428,0.7155,0.6477,0.0395,-0.6727,0.0957,0.0997,0.6245,0.1851,0.1903,0.2253,0.1458,0.012,0.0395,0.6477
Brazil-2018,Brazil,2018,FALSE,206.108,0.6907,0.0423,0.6907,0.531,0.0419,-0.6484,0.118,0.1601,0.6581,0.2031,0.2031,0.1909,0.1646,0.0156,0.0419,0.531
Brazil-2019,Brazil,2019,FALSE,207.455,0.4319,0.0422,0.4319,0.3771,0.0419,-0.3897,0.1155,0.0644,0.429,0.0642,0.0646,0.0817,0.1682,0.0118,0.0419,0.3827
Brazil-2020,Brazil,2020,FALSE,208.661,0.4884,0.0329,0.4884,0.3836,0.0327,-0.4555,0.148,0.0348,0.6043,0.04,0.0441,0.063,0.1789,0.0119,0.0327,0.3836
Bulgaria-2018,Bulgaria,2018,FALSE,7.025,0.0938,0.0557,0.121,0.0764,0.052,-0.0381,0.2185,0.0595,0.5456,0.2341,0.2341,0.0734,0.0243,0.0198,0.052,0.1094
Bulgaria-2019,Bulgaria,2019,FALSE,6.976,0.7813,0.1304,0.8325,0.3889,0.0379,-0.6509,0.8258,0.2788,0.8744,0.3467,0.3467,0.2788,0.2033,0.0665,0.0379,0.4126
Bulgaria-2021,Bulgaria,2021,FALSE,6.878,1,1,1,1,0.0706,0,1,0.325,1,1,1,0.325,0.2827,0.0362,0.0706,1.1365
Chile-2014,Chile,2014,FALSE,17.864,1,1,1,0.0757,0.0469,0,1,1,0.613,0.0422,0.0422,1,0.0388,0.0031,0.0469,0.0887
Chile-2015,Chile,2015,TRUE,18.048,0.6152,1,1,0.3699,0.4288,0.3848,1,1,0.616,0.3511,0.3511,1,0.393,0.2629,0.4288,0.4921
Chile-2017,Chile,2017,FALSE,18.559,0.3726,0.0608,0.3726,0.3697,0.0218,-0.3118,0.4368,0.0671,0.3765,0.0371,0.0637,0.0671,0.1128,0.0112,0.0218,0.3697
Chile-2018,Chile,2018,FALSE,18.893,0.1853,0.012,0.1853,0.178,0.0093,-0.1733,0.2445,0.0147,0.3339,0.0146,0.0146,0.0186,0.063,0.0031,0.0093,0.178
Chile-2019,Chile,2019,FALSE,19.198,0.3136,0.0175,0.3136,0.2878,0.0111,-0.2962,0.3199,0.0175,0.3886,0.0128,0.0128,0.0183,0.0873,0.0062,0.0111,0.2878
China-2013,China,2013,FALSE,1363.24,1,0.292,1,1,0.2824,-0.708,0.1979,0.4651,1,1,1,1,1,0.04,0.2824,2.2835
China-2014,China,2014,FALSE,1371.856,1,0.2811,1,1,0.2794,-0.7189,0.2047,0.7261,1,1,1,0.9158,0.885,0.0301,0.2794,3.399
China-2015,China,2015,FALSE,1379.863,1,0.4707,1,1,0.4687,-0.5293,0.1887,0.8078,1,1,1,1,0.8841,0.0476,0.4687,1.9244
China-2016,China,2016,FALSE,1387.795,1,0.5297,1,0.9399,0.5248,-0.4703,0.0896,0.8299,1,1,1,1,0.6247,0.0953,0.5248,1.1505
China-2017,China,2017,FALSE,1396.22,1,0.481,1,1,0.4749,-0.519,0.0971,0.7977,1,1,1,1,0.7617,0.1762,0.4749,2.4164
China-2018,China,2018,FALSE,1402.756,1,0.5344,1,1,0.4607,-0.4656,0.1567,1,1,1,1,1,0.7534,0.3263,0.4607,2.0297
China-2019,China,2019,FALSE,1407.748,1,1,1,1,0.9704,0,0.1918,1,1,1,1,1,1,0.5169,0.9704,1.9651
China-2020,China,2020,FALSE,1411.099,1,1,1,1,1,0,0.2902,1,1,1,1,1,1,0.7774,1.0192,3.7563
China-2021,China,2021,FALSE,1412.362,1,1,1,1,0.4324,0,0.2995,1,1,1,1,1,1,1,0.4324,4.4679
Colombia-2015,Colombia,2015,TRUE,46.97,1,1,1,0.5977,0.0824,0,1,1,0.8556,0.1756,0.1756,1,0.6561,0.0538,0.0824,0.5977
Colombia-2017,Colombia,2017,FALSE,48.131,1,1,1,0.9783,0.0242,0,1,1,0.7508,0.286,0.286,1,0.6009,0.0189,0.0242,0.9783
Colombia-2019,Colombia,2019,FALSE,49.908,0.9338,0.015,0.9338,0.8062,0.0091,-0.9188,0.5073,0.0669,0.6084,0.064,0.064,0.0669,0.3403,0.0101,0.0091,0.8062
Croatia-2015,Croatia,2015,TRUE,4.152,0.3026,0.912,0.9254,0.2021,0.4624,0.6094,0.8647,0.912,1,1,1,0.912,0.183,0.1114,0.4624,0.4939
Croatia-2018,Croatia,2018,FALSE,3.989,0.2153,0.0445,0.2364,0.1682,0.0413,-0.1708,0.6496,0.0815,0.4369,0.0877,0.0877,0.0815,0.1039,0.0386,0.0413,0.1975
Croatia-2019,Croatia,2019,FALSE,3.949,0.4448,0.0386,0.4622,0.3079,0.0193,-0.4063,0.7978,0.0594,0.5078,0.0692,0.0692,0.0594,0.1408,0.0268,0.0193,0.3189
France-2013,France,2013,FALSE,65.998,0.3908,0.0899,0.3908,0.3898,0.0773,-0.3009,0.571,0.1224,0.5309,0.0531,0.0826,0.1569,0.3908,0.0186,0.0773,0.3898
France-2014,France,2014,FALSE,66.312,0.2144,0.0753,0.217,0.2095,0.0708,-0.1391,0.294,0.0758,0.5279,0.0516,0.0666,0.093,0.1669,0.0086,0.0708,0.2152
France-2015,France,2015,FALSE,66.548,0.6201,0.0902,0.6201,0.5178,0.0867,-0.5299,0.6477,0.0945,0.6628,0.0384,0.0474,0.1009,0.202,0.0091,0.0867,0.5178
France-2016,France,2016,FALSE,66.724,0.4764,0.106,0.5097,0.2058,0.1017,-0.3703,0.329,0.1208,0.4764,0.0581,0.0582,0.1208,0.1885,0.0171,0.1017,0.2593
France-2017,France,2017,FALSE,66.918,0.5327,0.0736,0.5327,0.4581,0.0648,-0.4591,0.3061,0.0919,0.6324,0.0331,0.0424,0.0945,0.1809,0.025,0.0648,0.4581
France-2018,France,2018,FALSE,67.158,0.6891,0.0787,0.6891,0.4797,0.0659,-0.6104,0.3422,0.1257,0.707,0.048,0.0494,0.1297,0.198,0.0473,0.0659,0.4797
Greece-2014,Greece,2014,FALSE,10.892,0.1116,0.0501,0.1232,0.1082,0.0345,-0.0615,0.9781,0.0501,1,0.0309,0.0309,0.0502,0.0649,0.002,0.0345,0.112
Greece-2015,Greece,2015,TRUE,10.821,1,0.7052,1,0.7528,0.3576,-0.2948,1,0.7052,1,0.1756,0.1756,0.7052,0.6176,0.0725,0.3576,0.7528
