Country_Year,Country,Year,income,regiao,zero_inv,pop_mi,manuf_pib,manuf_exp,fdh_S,ccr_S,bcc_S,fdh_T,ccr_T,bcc_T,fdh_ST,ccr_ST,bcc_ST,fdh_C,ccr_C,bcc_C,se_S,se_T,se_ST,bcc_S_int,bcc_T_int,bcc_C_int,bcc_S_semzeros,bcc_T_semzeros,bcc_C_semzeros,classe,topsis,sw_S,sw_T,sw_C
Argentina-2013,Argentina,2013,Média-alta,Latin America and the caribbean,FALSE,42.5825,15.0111,31.6132,0.1183,0.061,0.1152,0.0478,0.014,0.0257,0.1183,0.061,0.1152,0.0478,0.0292,0.0328,0.5291,0.5469,0.5291,0.0802,0.0245,0.0353,0.1898,0.0403,0.1681,2,0.4866,0.0902,0.02,0.0239
Argentina-2016,Argentina,2016,Média-alta,Latin America and the caribbean,FALSE,43.9003,13.488,25.648,0.2483,0.0796,0.1455,0.0478,0.0147,0.0267,0.2483,0.0796,0.1455,0.0478,0.0261,0.0319,0.5471,0.551,0.5471,0.0993,0.0268,0.0362,0.2414,0.0466,0.1435,2,0.4866,0.1154,0.0209,0.0235
Argentina-2017,Argentina,2017,Média-alta,Latin America and the caribbean,FALSE,44.2889,12.8352,27.6743,0.2163,0.0738,0.1456,0.0478,0.008,0.0135,0.2163,0.0738,0.1456,0.0478,0.0152,0.0168,0.507,0.5935,0.507,0.0862,0.015,0.0182,0.1529,0.0147,0.0282,2,0.4867,0.1269,0.0106,0.0132
Argentina-2018,Argentina,2018,Média-alta,Latin America and the caribbean,FALSE,44.6549,14.0601,19.4577,0.3129,0.1141,0.1965,0.3347,0.1093,0.1956,1,0.1726,0.2698,0.3347,0.1545,0.2119,0.5806,0.5588,0.6397,0.1366,0.213,0.2645,0.3763,0.4346,0.9612,2,0.4867,0.157,0.1533,0.157
Argentina-2019,Argentina,2019,Média-alta,Latin America and the caribbean,FALSE,44.9735,13.5408,16.5546,0.2079,0.0901,0.1573,0.3825,0.0842,0.1515,0.8284,0.145,0.2007,0.3825,0.1594,0.1835,0.5725,0.556,0.7225,0.1035,0.1682,0.2153,0.1812,0.2078,0.4086,2,0.4867,0.1359,0.1189,0.1407
Argentina-2020,Argentina,2020,Média-alta,Latin America and the caribbean,FALSE,45.1919,14.5905,14.4214,0.2812,0.1042,0.1765,0.4782,0.0461,0.0523,1,0.1169,0.186,0.4782,0.0531,0.0544,0.5903,0.8821,0.6285,0.0862,0.0546,0.0572,0.1765,0.0555,0.0626,2,0.4868,0.1598,0.0432,0.0426
Argentina-2021,Argentina,2021,Média-alta,Latin America and the caribbean,FALSE,45.3123,15.5584,13.5316,0.2887,0.0959,0.1795,0.2869,0.0355,0.0448,0.6665,0.1038,0.1869,0.2869,0.045,0.0481,0.5344,0.7912,0.5552,0.0913,0.048,0.0514,0.1799,0.0478,0.0594,2,0.4868,0.1605,0.0371,0.0385
Australia-2013,Australia,2013,Alta,East Asia and Pacific,FALSE,23.128,6.4748,11.7664,1,0.437,1,1,1,1,1,1,1,1,1,1,0.437,1,1,1,1,1,1,1,1,1,0.487,0.6857,0.619,0.6159
Australia-2015,Australia,2015,Alta,East Asia and Pacific,FALSE,23.8161,6.1619,13.7679,0.495,0.0918,0.3765,1,0.1015,0.167,1,0.1599,0.3951,1,0.1409,0.1765,0.2439,0.6081,0.4047,0.4646,0.1979,0.1979,0.3765,0.167,0.1798,1,0.4875,0.3052,0.1336,0.1433
Australia-2017,Australia,2017,Alta,East Asia and Pacific,FALSE,24.5926,5.6371,11.751,0.9085,0.1188,0.5454,1,0.2879,0.6329,1,0.3359,0.6794,1,0.4278,0.6717,0.2179,0.4549,0.4945,0.5585,0.8319,0.8319,0.5529,0.6329,0.6927,1,0.4883,0.4409,0.4851,0.5236
Australia-2019,Australia,2019,Alta,East Asia and Pacific,FALSE,25.3349,5.4517,11.0489,0.8842,0.1529,0.4993,1,0.2596,0.3172,1,0.3162,0.5911,1,0.2696,0.3172,0.30620000000000003,0.8185,0.535,0.6792,0.5195,0.5195,0.4993,0.3172,0.3172,1,0.4902,0.4097,0.2581,0.2563
Austria-2013,Austria,2013,Alta,Europe and Central Asia,FALSE,8.4798,17.1064,81.3667,0.4634,0.092,0.3275,0.125,0.0232,0.052,0.4634,0.092,0.3275,0.1912,0.0336,0.0596,0.281,0.4473,0.281,0.5454,0.0804,0.0844,0.3844,0.0576,0.0837,2,0.4866,0.2559,0.0381,0.0449
Austria-2014,Austria,2014,Alta,Europe and Central Asia,FALSE,8.5463,17.1868,82.3462,0.4272,0.0719,0.2766,0.0625,0.0064,0.0173,0.4272,0.0719,0.2766,0.0956,0.0145,0.0226,0.2598,0.3704,0.2598,0.4009,0.0282,0.029,0.3137,0.0188,0.0287,2,0.4865,0.2233,0.0129,0.018
Austria-2015,Austria,2015,Alta,Europe and Central Asia,FALSE,8.6427,17.2429,82.8093,0.5327,0.1292,0.4049,0.0937,0.0254,0.0473,0.5327,0.1292,0.4049,0.0937,0.0257,0.0524,0.319,0.5355,0.319,0.7158,0.0712,0.0718,0.4723,0.053,0.0696,2,0.4866,0.3106,0.034,0.0384
Austria-2016,Austria,2016,Alta,Europe and Central Asia,FALSE,8.7367,17.6682,82.8823,0.598,0.0911,0.3736,0.3125,0.0391,0.0989,0.9999,0.1024,0.3736,0.3125,0.0631,0.1132,0.2439,0.3954,0.2741,0.5738,0.1585,0.1585,0.434,0.1074,0.139,2,0.4867,0.295,0.073,0.0862
