DMU,bcc_ST,peers
Argentina-2013,0.11522490313207993,India-2013; Malaysia-2014; Romania-2020
Argentina-2016,0.14552618766743744,India-2013; Malaysia-2014; Romania-2020
Argentina-2017,0.1455907939504871,India-2013; Malaysia-2014; Romania-2020
Argentina-2018,0.26982014757266243,China-2013; Malaysia-2014; Mexico-2018; Ukraine-2014
Argentina-2019,0.2007032746019566,China-2020; Malaysia-2014; Mexico-2018; Romania-2018
Argentina-2020,0.18595031462227077,China-2020; India-2013; India-2016; Romania-2020
Argentina-2021,0.1868747478727683,China-2020; India-2013; Malaysia-2014; Romania-2020
Australia-2013,1,Australia-2013
Australia-2015,0.39510301404003323,China-2013; China-2020; India-2013; Malaysia-2014
Australia-2017,0.6793930384058422,China-2013; China-2020; India-2013; Malaysia-2014
Australia-2019,0.5911152053119346,China-2013; China-2020; India-2013; India-2016
Austria-2013,0.32745465256476153,Australia-2013; China-2013; Malaysia-2014
Austria-2014,0.27661568530756586,China-2013; India-2013; Malaysia-2014
Austria-2015,0.4049010638808349,Australia-2013; China-2013; Malaysia-2014
Austria-2016,0.3736455694398628,Australia-2013; China-2013; Malaysia-2014
Austria-2017,0.3222554940970116,China-2013; India-2013; Malaysia-2014
Austria-2018,0.23419993202707398,China-2013; India-2013; Malaysia-2014
Austria-2019,0.23185089506105871,India-2013; India-2016; Romania-2020
Austria-2020,0.2455118423962758,India-2013; India-2016; Romania-2020
Austria-2021,0.2358058492064869,India-2013; India-2016; Romania-2020
Belgium-2013,0.3611869463424978,China-2013; India-2013; Malaysia-2014
Belgium-2016,0.1885544236603826,India-2013; India-2016; Romania-2020
Belgium-2017,0.1271851524313538,India-2016; India-2019; Romania-2020
Belgium-2018,0.2851501305188508,China-2013; India-2013; Malaysia-2014
Brazil-2013,0.606622482259813,Australia-2013; China-2013; Malaysia-2014
Brazil-2014,0.372728823770303,China-2013; India-2013; Malaysia-2014
Brazil-2015,0.24954695983944858,China-2013; China-2020; India-2013; India-2016
Brazil-2016,0.4705255614118565,China-2013; India-2013; Malaysia-2014
Brazil-2017,0.30812348624320035,China-2013; China-2020; India-2013; India-2016
Brazil-2018,0.32857337505483103,China-2013; China-2020; India-2013; India-2016
Brazil-2019,0.28116708844065924,China-2013; China-2020; India-2016; India-2019
Brazil-2020,0.26354479269944037,China-2013; China-2020; India-2016; India-2019
Bulgaria-2018,0.5180534029824359,China-2021; Peru-2021; Romania-2020
Bulgaria-2019,0.5975402004347081,China-2021; Peru-2021; Romania-2020; Ukraine-2018
Bulgaria-2021,0.7503858721165878,Romania-2018; Ukraine-2017; Ukraine-2018
Chile-2014,0.18254504423590526,India-2020; Peru-2021; Romania-2020
Chile-2015,0.39817834785697914,Malaysia-2014; Romania-2018; Ukraine-2014
Chile-2017,0.2534620952464342,India-2020; Peru-2021; Romania-2020
Chile-2018,0.26190005968048724,India-2020; Peru-2021; Romania-2020
Chile-2019,0.3296377937083872,India-2020; Peru-2021; Romania-2020
China-2013,1,China-2013
China-2014,0.8886777616930247,China-2013; China-2019; India-2019
China-2015,0.874116111558393,China-2013; China-2019
China-2016,0.6406863097018856,China-2013; China-2019; India-2019
China-2017,0.7548235409565279,China-2013; China-2019; India-2019
China-2018,0.7655121933321553,China-2020; China-2021; India-2019
China-2019,1,China-2019
China-2020,1,China-2020
China-2021,1,China-2021
Colombia-2015,0.45811070386969893,Malaysia-2014; Romania-2018
Colombia-2017,0.6028402506637037,Romania-2018; Romania-2020; Ukraine-2018
Colombia-2019,0.548250078521714,India-2013; India-2016; Romania-2020
Croatia-2015,0.600938068607994,Peru-2018; Ukraine-2017
Croatia-2018,0.4100481146883037,China-2021; Peru-2021; Romania-2020
Croatia-2019,0.3858519803641156,India-2020; Peru-2021; Romania-2020
France-2013,0.5165672934857887,China-2013; India-2013; Malaysia-2014
France-2014,0.2770355840575533,China-2013; China-2019; India-2019
France-2015,0.385980440600771,China-2013; India-2016; India-2019
France-2016,0.31756272272870895,China-2013; China-2019; India-2019
France-2017,0.30262677698626583,China-2013; China-2019; India-2019
France-2018,0.3308740677143668,China-2013; China-2019; India-2019
Greece-2014,0.47781535564752264,India-2019; India-2020; Romania-2020
Greece-2015,0.726983201827006,Malaysia-2014; Romania-2018
Greece-2016,0.5880235064881125,India-2013; India-2016; Romania-2020
Greece-2017,0.41487871603945264,China-2020; India-2016; India-2019; Romania-2020
Greece-2018,0.7806061643382514,China-2020; Malaysia-2014; Romania-2018; Romania-2020
Greece-2019,0.6884443224244761,India-2013; Malaysia-2014; Romania-2020
Greece-2020,0.7764367271042292,India-2013; India-2016; Romania-2020
Greece-2021,0.8132267481001526,India-2016; India-2019; Romania-2020
Hungary-2013,0.30563715427966837,Malaysia-2014; Romania-2018; Ukraine-2014
Hungary-2014,0.24033167414925002,India-2013; Malaysia-2014; Romania-2020
Hungary-2015,0.19086874411228633,China-2021; India-2019; India-2020; Romania-2020
Hungary-2016,0.2539141338013369,China-2020; India-2013; India-2016; Romania-2020
Hungary-2017,0.27482169080011626,China-2020; Malaysia-2014; Mexico-2018; Romania-2018
Hungary-2018,0.2227999546481972,India-2016; India-2019; Romania-2020
Hungary-2019,0.34353012165643465,India-2013; India-2016; Romania-2020
Hungary-2020,0.3889332239836404,India-2013; Malaysia-2014; Romania-2020
Hungary-2021,0.37791683102078616,India-2013; India-2016; Romania-2020
India-2013,1,India-2013
India-2014,0.6004168726788379,China-2021; India-2019; India-2020; Romania-2020
India-2015,0.7376445320960101,China-2021; India-2019; India-2020; Romania-2020
India-2016,1,India-2016
India-2017,0.7805216189379638,China-2021; India-2019; India-2020; Romania-2020
India-2018,0.8868474458438272,China-2021; India-2019; India-2020; Romania-2020
India-2019,1,India-2019
India-2020,1,India-2020
Indonesia-2013,0.5419517755678712,Romania-2018; Romania-2020; Ukraine-2018
Indonesia-2016,0.8383065181745186,Malaysia-2014; Romania-2018; Romania-2020
Ireland-2016,0.16102748745080356,China-2021; India-2019; India-2020; Romania-2020
Ireland-2018,0.19190054420141456,India-2016; India-2019; Romania-2020
Israel-2013,0.09403795369177387,India-2013; India-2016; Romania-2020
Israel-2014,0.11025895994204322,India-2013; India-2016; Romania-2020
