DMU,folga_rel_inv,folga_rel_rd,folga_pubs,folga_pat
Argentina-2013,0,0,0,1.9378
Argentina-2016,0,0,0,3.1834
Argentina-2017,0,0,0,5.2548
Argentina-2018,0,0,0,0
Argentina-2019,0,0,0,0
Argentina-2020,0,0,0,0
Argentina-2021,0,0,0,0
Australia-2013,0,0,0,0
Australia-2015,0,0,0,0
Australia-2017,0,0,0,0
Australia-2019,0,0,0,0
Austria-2013,0,0,0,51.4454
Austria-2014,0,0,0,83.0493
Austria-2015,0,0,0,44.041
Austria-2016,0,0,0,60.245
Austria-2017,0,0,0,55.8241
Austria-2018,0,0,0,11.0478
Austria-2019,0,0,0,39.7777
Austria-2020,0,0,0,19.8812
Austria-2021,0,0,0,66.4577
Belgium-2013,0,0,0,73.968
Belgium-2016,0,0,0,44.1195
Belgium-2017,0,0,0,95.6032
Belgium-2018,0,0,0,55.6215
Brazil-2013,0,0,0,11.8341
Brazil-2014,0,0,0,121.413
Brazil-2015,0,0,0,0
Brazil-2016,0,0,0,33.8164
Brazil-2017,0,0,0,0
Brazil-2018,0,0,0,0
Brazil-2019,0,0,0,0
Brazil-2020,0,0,0,0
Bulgaria-2018,0.9737,0,0,0
Bulgaria-2019,0,0,0,0
Bulgaria-2021,0,0,0,2.1946
Chile-2014,0,0,0,1.6299
Chile-2015,0,0,0,0
Chile-2017,0,0,0,3.9474
Chile-2018,0,0,0,4.2947
Chile-2019,0,0,0,4.7188
China-2013,0,0,0,0
China-2014,0,0,0,7617.5407
China-2015,0,0.0425,0,5730.4368
China-2016,0,0,0,18840.8539
China-2017,0,0,0,9422.153
China-2018,0,0,0,18864.2815
China-2019,0,0,0,0
China-2020,0,0,0,0
China-2021,0,0,0,0
Colombia-2015,0,0,0,0.6568
Colombia-2017,0,0,0,1.6848
Colombia-2019,0,0,0,5.8395
Croatia-2015,0,0,0,0.2841
Croatia-2018,0.5508,0,0,0
Croatia-2019,0,0,0,2.2122
France-2013,0,0,0,447.6645
France-2014,0,0,0,3686.3039
France-2015,0,0,0,420.9335
France-2016,0,0,0,425.0828
France-2017,0,0,0,2393.6591
France-2018,0,0,0,2558.5317
Greece-2014,0,0,0,6.8091
Greece-2015,0,0,0,3.8479
Greece-2016,0,0,0,6.7033
Greece-2017,0,0,0,0
Greece-2018,0,0,0,0
Greece-2019,0,0,0,9.4426
Greece-2020,0,0,0,10.4873
Greece-2021,0,0,0,19.4619
Hungary-2013,0,0,0,0
Hungary-2014,0,0,0,6.0161
Hungary-2015,0,0,0,0
Hungary-2016,0,0,0,0
Hungary-2017,0,0,0,0
Hungary-2018,0,0,0,2.908
Hungary-2019,0,0,0,2.0243
Hungary-2020,0,0,0,7.6061
Hungary-2021,0,0,0,14.1303
India-2013,0,0,0,0
India-2014,0,0,0,0
India-2015,0,0,0,0
India-2016,0,0,0,0
India-2017,0,0,0,0
India-2018,0,0,0,0
India-2019,0,0,0,0
India-2020,0,0,0,0
Indonesia-2013,0,0,0,3.8316
Indonesia-2016,0,0,0,6.7725
Ireland-2016,0,0,0,0
Ireland-2018,0,0,0,14.6466
Israel-2013,0,0,0,0.2275
Israel-2014,0,0,0,38.3497
Israel-2015,0,0,0,0
Israel-2016,0,0,0,4.1414
Israel-2017,0,0,0,0
Israel-2018,0,0,0,0
Israel-2019,0,0,0,17.3873
Israel-2020,0,0,0,375.2257
Israel-2021,0,0,0,717.8218
Italy-2013,0,0,0,202.8997
Italy-2014,0,0,0,206.2702
Japan-2013,0,0.4215,0,98.4285
Japan-2014,0,0.1458,2731.0413,0
Japan-2015,0,0,0,0
Japan-2016,0,0,0,0
Japan-2017,0,0,4994.3751,0
Japan-2018,0,0,5582.5852,0
Japan-2019,0,0,0,0
Japan-2020,0,0,0,0
