cenario,n,efic_pct,media,spearman_vs_principal
intensiva_S,208,7.692,0.394,0.117
intensiva_T,208,4.327,0.197,0.902
intensiva_C,208,4.327,0.208,0.937
anual_ST,208,36.058,0.7,0.844
shift_1mi_ST,208,9.135,0.486,1
sem_zeros_ST,191,10.471,0.486,0.988
T_ate_2019,174,3.448,0.159,0.993
sem_LUX_SGP_ST,195,9.744,0.495,1
lag_t-1_ST,154,9.091,0.476,0.888
sem_paises_curtos_S,199,8.04,0.46,1
sem_paises_curtos_T,199,3.518,0.151,1
sem_paises_curtos_ST,199,9.548,0.488,1
sem_paises_curtos_C,199,4.02,0.17,1
sem_zeros_S,191,8.377,0.463,0.992
sem_zeros_T,191,5.236,0.161,0.983
sem_zeros_C,191,6.283,0.193,0.972
so_PD_S,208,1.923,0.289,0.792
so_PD_T,208,0.962,0.055,0.791
