DMU,super_VRS,super_CRS
Ukraine-2014,1.836,1.814
Malaysia-2014,1.818,1.782
Australia-2013,2.398,1.268
China-2020,1.3,1.266
China-2021,1.326,1.185
Romania-2018,1.16,1.16
Ukraine-2018,1.113,1.109
Peru-2021,1.586,1.019
Romania-2020,1.143,1.01
India-2020,1.47,1.001
Romania-2021,0.991,0.978
Ukraine-2017,1.214,0.939
Romania-2016,0.944,0.907
Romania-2017,0.901,0.899
Romania-2019,0.917,0.871
Peru-2020,1.045,0.87
Ukraine-2015,0.879,0.852
China-2019,1.014,0.837
Ukraine-2016,0.856,0.788
Bulgaria-2021,0.75,0.745
Mexico-2018,1.203,0.732
Greece-2015,0.727,0.727
Peru-2018,-0,0.723
India-2018,0.887,0.685
India-2019,1.392,0.679
Bulgaria-2019,0.598,0.595
India-2017,0.781,0.593
Colombia-2017,0.603,0.584
Malaysia-2020,0.954,0.579
Ukraine-2013,0.565,0.565
Croatia-2015,0.601,0.559
India-2016,1.185,0.556
Peru-2019,0.625,0.547
Greece-2021,0.813,0.543
Indonesia-2016,0.838,0.536
Indonesia-2013,0.542,0.53
China-2018,0.766,0.53
Colombia-2019,0.548,0.526
Bulgaria-2018,0.518,0.515
India-2015,0.738,0.511
Mexico-2013,0.873,0.505
Greece-2018,0.781,0.497
Mexico-2020,0.75,0.495
Malaysia-2015,0.967,0.494
Luxembourg-2021,0.491,0.489
Colombia-2015,0.458,0.458
Malaysia-2018,0.762,0.453
Greece-2020,0.776,0.435
Greece-2014,0.478,0.434
India-2014,0.6,0.429
Mexico-2016,0.615,0.423
China-2017,0.755,0.419
Portugal-2015,0.66,0.419
Mexico-2019,0.51,0.417
Mexico-2021,0.551,0.416
Croatia-2018,0.41,0.409
Chile-2015,0.398,0.398
Singapore-2018,0.473,0.396
Singapore-2019,0.473,0.394
Greece-2016,0.588,0.392
Malaysia-2016,0.845,0.391
Slovenia-2018,0.388,0.388
Croatia-2019,0.386,0.383
China-2013,3.526,0.38
India-2013,1.34,0.378
Greece-2019,0.688,0.374
Japan-2018,0.5,0.37
Portugal-2018,0.467,0.363
Brazil-2013,0.607,0.362
Portugal-2016,0.601,0.354
Portugal-2017,0.445,0.35
Mexico-2017,0.494,0.346
Poland-2013,0.693,0.343
Mexico-2015,0.535,0.338
Portugal-2014,0.611,0.338
Australia-2017,0.679,0.336
Greece-2017,0.415,0.331
Poland-2016,0.741,0.327
Chile-2019,0.33,0.326
Luxembourg-2020,0.322,0.321
Poland-2015,0.604,0.318
Australia-2019,0.591,0.316
South Africa-2020,0.38,0.314
Japan-2019,0.371,0.312
Hungary-2013,0.306,0.306
Poland-2017,0.599,0.301
Singapore-2017,0.382,0.295
Japan-2017,0.439,0.295
Poland-2014,0.665,0.292
China-2015,0.874,0.286
Mexico-2014,0.516,0.276
Japan-2021,0.407,0.271
Japan-2020,0.347,0.27
Luxembourg-2019,0.267,0.266
Chile-2018,0.262,0.259
Poland-2018,0.632,0.254
Spain-2021,0.448,0.251
Chile-2017,0.253,0.251
Spain-2020,0.495,0.248
Philippines-2018,0.298,0.246
South Africa-2014,0.244,0.244
Hungary-2021,0.378,0.24
China-2016,0.641,0.236
Singapore-2016,0.358,0.235
Poland-2021,0.501,0.234
Luxembourg-2017,0.231,0.229
Hungary-2020,0.389,0.229
Spain-2019,0.446,0.226
Hungary-2017,0.275,0.224
Luxembourg-2018,0.224,0.224
Poland-2020,0.405,0.219
Luxembourg-2016,0.22,0.218
Poland-2019,0.44,0.216
Hungary-2019,0.344,0.216
Spain-2015,0.699,0.213
Singapore-2014,0.358,0.212
Singapore-2015,0.284,0.206
Singapore-2013,0.454,0.206
Hungary-2016,0.254,0.205
China-2014,0.889,0.205
South Africa-2019,0.246,0.202
Spain-2018,0.516,0.201
Spain-2017,0.477,0.201
Spain-2016,0.427,0.187
Spain-2014,0.507,0.184
Chile-2014,0.183,0.182
Japan-2013,0.591,0.18
Hungary-2015,0.191,0.178
Spain-2013,0.527,0.174
Argentina-2018,0.27,0.173
Brazil-2016,0.471,0.171
Hungary-2018,0.223,0.17
Hungary-2014,0.24,0.167
Brazil-2020,0.264,0.167
Australia-2015,0.395,0.16
United Kingdom-2021,0.551,0.159
Japan-2016,0.271,0.156
Italy-2013,0.77,0.153
Italy-2014,0.729,0.152
South Africa-2018,0.195,0.15
Japan-2015,0.309,0.148
Argentina-2019,0.201,0.145
Japan-2014,0.432,0.145
Brazil-2019,0.281,0.137
Brazil-2018,0.329,0.135
United States-2019,0.499,0.132
Ireland-2018,0.192,0.13
Austria-2015,0.405,0.129
