modelo,DMU,original,rDEA_theta_bc,boot_bc,ic_inf,ic_sup,vies_phi
S,Argentina-2013,0.1152,0.0575,0.0871,0.078,0.0996,-2.8031
S,Argentina-2016,0.1455,0.0774,0.1112,0.0994,0.1251,-2.1224
S,Argentina-2017,0.1456,0.0998,0.1178,0.1088,0.1256,-1.6223
S,Argentina-2018,0.1965,0.1092,0.1513,0.1355,0.1677,-1.5197
S,Argentina-2019,0.1573,0.1034,0.1257,0.1157,0.1355,-1.5976
S,Argentina-2020,0.1765,0.1259,0.1445,0.1362,0.1519,-1.2514
S,Argentina-2021,0.1795,0.1253,0.1459,0.1371,0.1537,-1.2817
S,Australia-2013,1,0.1104,0.6882,0.6193,0.8529,-0.453
S,Australia-2015,0.3765,0.214,0.2903,0.267,0.3192,-0.788
S,Australia-2017,0.5454,0.31,0.4209,0.3843,0.4633,-0.5423
S,Australia-2019,0.4993,0.3084,0.3923,0.3603,0.4255,-0.546
S,Austria-2013,0.3275,0.1802,0.2511,0.2275,0.2772,-0.9281
S,Austria-2014,0.2766,0.1665,0.2162,0.1957,0.2354,-1.0099
S,Austria-2015,0.4049,0.2011,0.3052,0.2728,0.3431,-0.8065
S,Austria-2016,0.3736,0.2127,0.2885,0.262,0.3158,-0.7897
S,Austria-2017,0.3223,0.2153,0.2586,0.2385,0.2759,-0.7632
S,Austria-2018,0.2342,0.1387,0.1823,0.1692,0.2017,-1.2153
S,Austria-2019,0.2319,0.139,0.1809,0.168,0.198,-1.2152
S,Austria-2020,0.2455,0.1588,0.1953,0.18,0.2109,-1.0477
S,Austria-2021,0.2358,0.1456,0.1854,0.1699,0.2032,-1.1521
S,Belgium-2013,0.3612,0.2336,0.2873,0.2647,0.3088,-0.7121
S,Belgium-2016,0.1886,0.1116,0.1467,0.1362,0.1613,-1.5126
S,Belgium-2017,0.1272,0.0794,0.1003,0.0917,0.1087,-2.1115
S,Belgium-2018,0.2852,0.1787,0.2249,0.2081,0.245,-0.9387
S,Brazil-2013,0.6066,0.2307,0.4424,0.397,0.5093,-0.6118
S,Brazil-2014,0.3727,0.2132,0.2885,0.259,0.3185,-0.783
S,Brazil-2015,0.2473,0.157,0.1957,0.1799,0.2111,-1.0658
S,Brazil-2016,0.4705,0.2421,0.3571,0.3213,0.403,-0.6753
S,Brazil-2017,0.2961,0.1893,0.2347,0.217,0.2554,-0.8827
S,Brazil-2018,0.3056,0.1973,0.2429,0.2236,0.26,-0.8447
S,Brazil-2019,0.2747,0.1693,0.2158,0.1972,0.233,-0.9934
