DMU,alpha_90,alpha_95,alpha_99,alpha_100,orderm_25,orderm_50,orderm_100
Argentina-2013,4.2961,4.6519,7.4992,8.453,64.0405,68.4737,68.4737
Argentina-2016,3.52,3.6428,3.9386,4.0279,233.5661,243.959,253.0258
Argentina-2017,3.9519,4.4155,4.6084,4.6223,59.6949,67.232,69.654
Argentina-2018,2.7085,2.9004,3.1365,3.1956,218.5597,255.5928,268.2345
Argentina-2019,3.5405,4.2455,4.7446,4.8108,102.8378,116.1196,117.8081
Argentina-2020,3.1105,3.313,3.4652,3.5556,14.9885,16.3263,16.5647
Argentina-2021,3.0597,3.336,3.4426,3.4635,23.6398,25.4648,26.3511
Australia-2013,0.3539,0.558,0.9091,1,1050.4737,1623.2144,2144.0099
Australia-2015,0.6907,1.0396,1.2613,2.0203,21.395,30.5666,40.0694
Australia-2017,0.5174,0.6067,1.036,1.1007,43.5184,62.1553,89.407
Australia-2019,0.4649,0.6448,0.9089,1.131,7.5271,11.0606,13.6394
Austria-2013,1.4157,1.6095,2.103,2.158,77.8124,90.8489,98.9201
Austria-2014,1.5235,1.8402,2.2618,2.3409,44.2102,49.3592,53.6287
Austria-2015,1.194,1.468,1.8388,1.8773,126.1721,139.3436,152.4185
Austria-2016,1.1351,1.2291,1.6244,1.6721,53.6288,66.6979,69.1321
Austria-2017,1.1437,1.3131,1.6637,1.7439,22.0849,25.2732,27.3671
Austria-2018,1.3137,1.551,1.7047,1.9387,5.7328,6.9152,7.2517
Austria-2019,1.1746,1.3729,1.6391,4.0145,3.7638,4.2207,4.647
Austria-2020,1.0764,1.2347,1.4314,1.5424,2.3786,2.8449,3.0267
Austria-2021,0.923,1.0218,1.2576,2.949,1.5076,1.7032,1.8664
Belgium-2013,1.196,1.4188,1.7624,1.8254,38.3623,44.3527,47.779
Belgium-2016,1.5121,1.8396,1.9499,2.2282,4.4771,5.0585,5.5057
Belgium-2017,1.6267,1.8061,2.085,2.2766,1.0833,1.279,1.3396
Belgium-2018,1.0304,1.2208,1.5096,1.7061,7.5981,9.1323,9.6595
Brazil-2013,0.7889,1.0056,1.0809,1.1063,230.4388,311.1419,359.7512
Brazil-2014,0.8666,0.9735,1.0933,1.1368,29.7635,39.4717,44.8642
Brazil-2015,0.9775,1.2128,1.7589,2.8211,5.8527,6.6913,7.7861
Brazil-2016,0.6434,0.813,0.938,1,56.7197,67.3191,81.1398
Brazil-2017,0.887,1.0251,1.6017,2.6243,6.4207,7.7027,9.9605
Brazil-2018,0.7451,1.1071,1.4131,2.1489,6.2809,8.4054,10.6001
Brazil-2019,0.7177,1.0468,1.7749,3.1967,4.392,6.8469,10.4354
Brazil-2020,0.6086,1.0127,1.6152,2.8099,1.5085,2.2139,2.7981
Bulgaria-2018,1.363,1.4238,1.4724,1.4846,1,1,1
Bulgaria-2019,1.2725,1.455,1.601,1.6375,49.2339,50.2108,50.2108
Bulgaria-2021,0.9918,0.9959,0.9992,1,84.892,90.1684,90.1684
Chile-2014,2.1389,2.4567,2.7402,2.8111,0.9538,0.9908,1
Chile-2015,1.1502,1.2846,1.3921,1.419,746.5756,802.4412,818.9831
Chile-2017,1.5562,1.7876,1.9832,2.0321,42.0818,44.6652,44.9679
Chile-2018,1.4917,1.7639,2.5373,2.787,4.0885,4.5504,4.7616
Chile-2019,1.3249,1.5302,2.1871,2.3754,10.7799,12.1415,12.6574
China-2013,0.0923,0.1297,0.2313,1,35.8945,55.1843,99.003
China-2014,0.1929,0.2286,0.5898,1,2.9805,6.0567,7.6123
China-2015,0.1928,0.2242,0.5952,1,3.4113,6.1638,8.6704
China-2016,0.2036,0.3081,0.9864,1,0.9831,1.8545,2.6891
China-2017,0.1693,0.2476,0.836,1,1.0796,2.0318,2.2585
China-2018,0.1477,0.2446,0.6803,1,0.8849,1.0995,1.4177
China-2019,0.1134,0.1879,0.5224,1,0.7563,1.3436,1.9209
China-2020,0.1054,0.2135,0.6842,1,0.6919,1.1459,1.5831
China-2021,0.0827,0.1759,0.6668,1,0.4511,0.6092,0.9175
Colombia-2015,1.668,1.967,2.1254,2.165,651.2918,757.2557,813.4692
Colombia-2017,0.9815,1.0583,1.1152,1.1295,227.0367,250.1844,259.8648
Colombia-2019,1.1255,1.2593,1.6537,1.7743,50.2103,58.2849,63.2553
Croatia-2015,0.9692,0.9846,0.9969,1,2.9839,2.9839,2.9839
Croatia-2018,1.5208,1.8146,2.0496,2.1083,18.7277,18.7277,18.7277
Croatia-2019,1.3699,1.6107,1.8439,1.9023,35.5417,35.5417,35.8814
France-2013,0.4118,0.5184,0.7529,1,30.7961,42.2779,63.19
France-2014,0.6656,0.9852,1.727,2.7907,1.4435,1.982,2.4684
France-2015,0.5567,0.7295,1.0121,1.7499,4.2602,6.2267,9.1512
France-2016,0.5897,0.8604,1.0272,1.7804,1.9475,3.2141,4.7948
France-2017,0.6279,0.944,1.6283,2.628,1.9026,2.1224,3.0212
France-2018,0.5751,0.882,1.4668,2.3703,1.6666,1.9658,2.9258
Greece-2014,0.9947,1.2475,1.3889,1.4111,0.8009,0.9563,0.9922
Greece-2015,0.9735,1.0305,1.0875,1.1018,688.3567,786.3112,816.8348
Greece-2016,0.9458,1.0406,1.2319,1.2641,28.9859,32.849,33.5263
Greece-2017,1.0795,1.3237,1.3808,1.404,5.5404,6.4495,6.5984
Greece-2018,0.7658,0.8342,0.964,1,150.2463,159.8624,167.2266
Greece-2019,0.9142,0.9767,0.9947,1,31.734,34.7903,37.3029
Greece-2020,0.7388,0.7861,0.9054,1,18.931,22.1268,23.4942
Greece-2021,0.5993,0.6295,0.8678,1,6.6617,7.7332,8.2197
Hungary-2013,2.0917,2.5749,2.8015,2.8581,694.795,788.4748,816.2261
Hungary-2014,2.6537,3.1819,3.5446,3.6141,56.3595,63.0493,64.8064
Hungary-2015,2.5187,3.2661,3.6124,3.6689,0.9232,1.0308,1.0336
Hungary-2016,2.3094,2.7819,3.1822,3.2538,25.4623,29.8326,31.7708
Hungary-2017,2.4498,2.7338,3.0083,3.0819,135.7854,149.2003,153.9134
Hungary-2018,2.1407,2.5201,2.7693,2.8116,8.039,9.2032,9.3727
Hungary-2019,1.5041,1.728,2.0316,2.0832,28.2562,31.9795,32.8052
Hungary-2020,1.4161,1.7705,1.877,1.8829,33.576,38.3301,40.2165
Hungary-2021,1.4302,1.5961,1.6878,1.7376,13.715,15.5375,16.1281
India-2013,0.2852,0.3403,0.4442,1,9.899,16.08,21.6671
India-2014,0.2659,0.2895,0.6824,1,0.405,0.5903,0.8339
India-2015,0.221,0.2406,0.5617,1,0.9015,1.4764,1.7632
India-2016,0.1994,0.2476,0.5278,1,3.0975,5.53,7.1538
India-2017,0.1938,0.2984,0.8764,1,0.3505,0.4925,0.7215
India-2018,0.1873,0.3175,0.7729,1,0.3965,0.4815,0.7584
India-2019,0.1359,0.2387,0.54990000000000006,1,3.0185,4.3677,5.6057
India-2020,0.1124,0.1807,0.5164,1,0.2893,0.396,0.5436
Indonesia-2013,0.9936,1.1338,1.2647,1.2974,37.0212,42.3561,43.1735
Indonesia-2016,0.7307,0.7959,0.9546,1,133.8249,150.4322,155.9584
Ireland-2016,2.2852,2.8626,3.8629,4.3601,1.4689,1.7704,1.8433
Ireland-2018,1.8755,2.5363,3.0973,3.4624,2.605,2.9834,3.0681
Israel-2013,2.7368,3.0477,3.5364,3.7993,1.793,2.0474,2.1861
