modelo,DMU,cols,sfa,bcc
S,Argentina-2013,0.065,1.2102,0.1152
S,Argentina-2016,0.0831,1.2528,0.1455
S,Argentina-2017,0.077,1.2399,0.1456
S,Argentina-2018,0.1135,1.3289,0.1965
S,Argentina-2019,0.0869,1.2635,0.1573
S,Argentina-2020,0.1009,1.3019,0.1765
S,Argentina-2021,0.1002,1.2991,0.1795
S,Australia-2013,0.2621,1.7458,1
S,Australia-2015,0.2022,1.5815,0.3765
S,Australia-2017,0.247,1.7175,0.5454
S,Australia-2019,0.3149,1.9491,0.4993
S,Austria-2013,0.1255,1.3571,0.3275
S,Austria-2014,0.1129,1.3255,0.2766
S,Austria-2015,0.1462,1.4115,0.4049
S,Austria-2016,0.147,1.4156,0.3736
S,Austria-2017,0.136,1.3882,0.3223
S,Austria-2018,0.1341,1.3862,0.2342
S,Austria-2019,0.1489,1.4289,0.2319
S,Austria-2020,0.1651,1.4769,0.2455
S,Austria-2021,0.1814,1.5272,0.2358
S,Belgium-2013,0.1506,1.4274,0.3612
S,Belgium-2016,0.1171,1.3413,0.1886
S,Belgium-2017,0.1012,1.3024,0.1272
S,Belgium-2018,0.1479,1.4233,0.2852
S,Brazil-2013,0.1718,1.4793,0.6066
S,Brazil-2014,0.1514,1.4282,0.3727
S,Brazil-2015,0.1417,1.4065,0.2473
S,Brazil-2016,0.1856,1.5254,0.4705
S,Brazil-2017,0.1753,1.5037,0.2961
S,Brazil-2018,0.1963,1.5685,0.3056
S,Brazil-2019,0.2035,1.5931,0.2747
S,Brazil-2020,0.2267,1.6704,0.256
S,Bulgaria-2018,0.1707,1.5149,0.4901
S,Bulgaria-2019,0.3322,2.0259,0.5855
S,Bulgaria-2021,0.4263,2.337,0.7504
S,Chile-2014,0.089,1.2774,0.1825
S,Chile-2015,0.224,1.652,0.3284
S,Chile-2017,0.1635,1.4786,0.2535
S,Chile-2018,0.1362,1.4052,0.2619
S,Chile-2019,0.1851,1.5494,0.3296
S,China-2013,0.5942,2.8017,1
S,China-2014,0.4593,2.408,0.8887
S,China-2015,0.44,2.3437,0.8741
S,China-2016,0.3706,2.127,0.6407
S,China-2017,0.4246,2.3021,0.7548
S,China-2018,0.479,2.4831,0.7655
S,China-2019,0.6011,2.862,1
S,China-2020,0.6308,2.9534,1
S,China-2021,0.7314,3.26,1
S,Colombia-2015,0.3268,1.9842,0.4581
S,Colombia-2017,0.3814,2.1797,0.6028
S,Colombia-2019,0.3811,2.1871,0.5483
S,Croatia-2015,0.2897,1.8734,0.6009
S,Croatia-2018,0.2172,1.6482,0.4067
S,Croatia-2019,0.237,1.7076,0.3859
S,France-2013,0.2382,1.6845,0.5166
S,France-2014,0.1815,1.5247,0.277
S,France-2015,0.2245,1.6513,0.386
S,France-2016,0.2036,1.5896,0.3176
S,France-2017,0.1958,1.5672,0.3026
S,France-2018,0.2138,1.6231,0.3309
