id,year,ec,tc,pc
Argentina,2017,0.3434,1.6351,0.5615
Austria,2017,0.3372,1.9051,0.6425
China,2017,1.2928,0.8471,1.0951
Greece,2017,0.9495,0.8471,0.8043
Hungary,2017,0.8611,0.9276,0.7988
Israel,2017,1.2569,0.8471,1.0647
Japan,2017,1.2061,0.8471,1.0216
Luxembourg,2017,0.4708,1.4406,0.6782
Mexico,2017,1.3779,0.8471,1.1672
Poland,2017,1.1019,0.8471,0.9333
Romania,2017,1,1.6145,1.6145
Spain,2017,1.2784,0.8471,1.0829
United States,2017,1.3012,0.8471,1.1022
Argentina,2018,1.2006,1.1333,1.3607
Austria,2018,0.9886,1.1333,1.1204
China,2018,1.029,1.1333,1.1662
Greece,2018,1.0494,1.1333,1.1893
Hungary,2018,1.0361,1.1333,1.1742
Israel,2018,0.9981,1.1333,1.1312
Japan,2018,0.9954,1.1333,1.1282
Luxembourg,2018,1.003,1.1333,1.1368
Mexico,2018,1.1096,1.1333,1.2576
Poland,2018,0.7246,1.1333,0.8212
Romania,2018,1,1.1564,1.1564
Spain,2018,0.8888,1.1333,1.0073
United States,2018,1.032,1.1333,1.1696
Argentina,2019,3.028,0.183,0.5542
Austria,2019,1.0004,1.0816,1.082
China,2019,1.007,1.1639,1.1721
Greece,2019,1.0351,0.472,0.4886
Hungary,2019,1.0894,1.1639,1.268
Israel,2019,1.0423,1.1639,1.2132
Japan,2019,0.9788,1.1639,1.1392
Luxembourg,2019,0.9499,1.1639,1.1057
Mexico,2019,1.1022,0.7102,0.7828
Poland,2019,0.7496,1.0639,0.7975
Romania,2019,1,0.3514,0.3514
Spain,2019,0.9781,1.1639,1.1384
United States,2019,1.0045,1.1639,1.1691
Argentina,2020,0.3037,1.1196,0.3401
Austria,2020,1.0281,1.1406,1.1726
China,2020,0.9085,1.1406,1.0362
Greece,2020,0.8455,1.1196,0.9466
Hungary,2020,1.1287,1.1196,1.2637
Israel,2020,0.9847,1.1406,1.1232
Japan,2020,0.9439,1.1406,1.0766
Luxembourg,2020,1.1732,1.1406,1.3381
Mexico,2020,1.0219,1.1406,1.1656
Poland,2020,0.8919,1.1406,1.0173
Romania,2020,1,1.1196,1.1196
Spain,2020,0.9697,1.1406,1.106
United States,2020,0.9637,1.1406,1.0992
Argentina,2021,5.5624,0.2182,1.2134
Austria,2021,1.994,0.4463,0.8899
China,2021,1.2486,0.873,1.09
Greece,2021,2.2726,0.3308,0.7517
Hungary,2021,2.7286,0.2341,0.6389
Israel,2021,1.0665,0.9685,1.0329
Japan,2021,3.9799,0.3531,1.4055
Luxembourg,2021,1.2031,0.9685,1.1652
Mexico,2021,1.1645,0.5825,0.6783
Poland,2021,2.8183,0.4585,1.2922
Romania,2021,1,0.4072,0.4072
Spain,2021,1.1303,0.7294,0.8245
United States,2021,1.0616,0.9685,1.0282
