bloco,ano,membros,efic_fusao,aprendizado,harmonia,escala,efic_membros_media
Mercosul,2013,2,0.605,0.406,0.971,1.534,0.361
Mercosul,2016,2,0.489,0.38,0.988,1.302,0.308
Mercosul,2017,2,0.319,0.278,0.927,1.238,0.227
Mercosul,2018,2,0.347,0.322,0.873,1.235,0.299
Mercosul,2019,2,0.295,0.273,0.892,1.209,0.241
Mercosul,2020,2,0.28,0.254,0.968,1.139,0.225
Aliança do Pacífico,2019,4,0.625,0.492,0.925,1.372,0.503
Benelux,2016,3,0.212,0.165,0.911,1.414,0.187
Benelux,2017,3,0.205,0.15,0.957,1.421,0.174
Ibéria,2014,2,0.628,0.529,0.961,1.235,0.559
Ibéria,2015,2,0.761,0.689,0.905,1.221,0.68
Ibéria,2016,2,0.532,0.461,0.984,1.174,0.514
Ibéria,2017,2,0.451,0.469,0.831,1.159,0.461
Ibéria,2018,2,0.5,0.503,0.86,1.156,0.491
Visegrád,2013,2,0.795,0.548,0.969,1.498,0.499
Visegrád,2014,2,0.655,0.5,1,1.312,0.452
Visegrád,2015,2,0.391,0.449,0.811,1.075,0.397
Visegrád,2016,2,0.691,0.563,0.986,1.245,0.497
Visegrád,2017,2,0.588,0.516,0.944,1.207,0.437
Visegrád,2018,2,0.536,0.475,0.958,1.176,0.427
Visegrád,2019,2,0.476,0.414,1,1.148,0.392
Visegrád,2020,2,0.453,0.401,0.996,1.134,0.397
Visegrád,2021,2,0.528,0.466,1,1.132,0.439
Leste UE,2018,4,0.634,0.624,0.79,1.286,0.579
