DMU,topsis,rank
Argentina-2013,0.4866,165
Argentina-2016,0.4866,157
Argentina-2017,0.4867,156
Argentina-2018,0.4867,144
Argentina-2019,0.4867,151
Argentina-2020,0.4868,136
Argentina-2021,0.4868,140
Australia-2013,0.487,97
Australia-2015,0.4875,67
Australia-2017,0.4883,30
Australia-2019,0.4902,16
Austria-2013,0.4866,167
Austria-2014,0.4865,172
Austria-2015,0.4866,159
Austria-2016,0.4867,149
Austria-2017,0.4867,146
Austria-2018,0.4868,135
Austria-2019,0.4869,112
Austria-2020,0.4871,96
Austria-2021,0.4872,86
Belgium-2013,0.4868,133
Belgium-2016,0.4866,158
Belgium-2017,0.4863,177
Belgium-2018,0.4868,124
Brazil-2013,0.4865,174
Brazil-2014,0.4865,170
Brazil-2015,0.4866,160
Brazil-2016,0.487,105
Brazil-2017,0.4872,83
Brazil-2018,0.4876,60
Brazil-2019,0.4876,61
Brazil-2020,0.4876,59
Bulgaria-2018,0.4867,153
Bulgaria-2019,0.4869,108
Bulgaria-2021,0.487,101
Chile-2014,0.4866,162
Chile-2015,0.4869,118
Chile-2017,0.4868,126
Chile-2018,0.4868,143
Chile-2019,0.4869,115
China-2013,0.5035,8
China-2014,0.5029,9
China-2015,0.5052,7
China-2016,0.5079,6
China-2017,0.5342,5
China-2018,0.5832,4
China-2019,0.6721,3
China-2020,0.7765,2
China-2021,0.8234,1
Colombia-2015,0.487,103
Colombia-2017,0.4871,95
Colombia-2019,0.4872,85
Croatia-2015,0.4869,122
Croatia-2018,0.4869,117
Croatia-2019,0.4869,114
France-2013,0.4871,91
France-2014,0.4854,189
France-2015,0.4873,78
France-2016,0.4867,155
France-2017,0.4861,183
France-2018,0.4867,147
Greece-2014,0.4867,150
Greece-2015,0.4873,80
Greece-2016,0.4874,76
Greece-2017,0.4872,82
Greece-2018,0.4875,66
Greece-2019,0.4876,64
Greece-2020,0.4878,48
Greece-2021,0.4882,33
Hungary-2013,0.4869,119
Hungary-2014,0.4868,127
Hungary-2015,0.4863,178
Hungary-2016,0.4869,116
Hungary-2017,0.4868,128
Hungary-2018,0.4869,120
Hungary-2019,0.487,98
Hungary-2020,0.4871,94
Hungary-2021,0.4871,88
India-2013,0.4911,13
India-2014,0.4882,31
India-2015,0.4924,12
India-2016,0.4947,11
India-2017,0.4883,29
India-2018,0.4881,37
India-2019,0.4981,10
India-2020,0.4639,199
Indonesia-2013,0.487,100
Indonesia-2016,0.4876,62
