escore,variavel,coef,ep,p,coef_ols,ep_cluster,p_cluster
bcc_S,(Intercept),2.18,0.373,5.11e-9,1.91,0.703,0.00708
bcc_S,manuf_pib,0.0064,0.00487,0.189,0.00597,0.00913,0.514
bcc_S,manuf_exp,-7.79e-5,9.2e-4,0.933,3.79e-5,0.00226,0.987
bcc_S,gov,0.118,0.039,0.00242,0.0946,0.0771,0.221
bcc_S,voice,-0.00627,0.00239,0.00876,-0.00549,0.0044,0.214
bcc_S,ln_gdppc,-0.149,0.0365,4.53e-5,-0.126,0.0656,0.0564
bcc_S,trade,-5.61e-4,2.5e-4,0.025,-4.88e-4,4.2e-4,0.247
bcc_S,z_score,0.00223,0.00222,0.316,0.0014,0.00338,0.679
bcc_S,npl,0.00882,0.00224,8.33e-5,0.00754,0.0024,0.00191
bcc_S,zero_inv,0.00959,0.0649,0.883,7.66e-4,0.0998,0.994
bcc_S,tend,0.0139,0.00708,0.0495,0.0115,0.00838,0.172
bcc_S,logSigma,-1.49,0.0525,2.899999999999999e-177,NA,NA,NA
bcc_T,(Intercept),0.165,0.314,0.6,0.153,0.439,0.728
bcc_T,manuf_pib,0.0095,0.00422,0.0244,0.00937,0.0072,0.195
bcc_T,manuf_exp,-0.00195,7.95e-4,0.0144,-0.0019,0.00146,0.196
bcc_T,gov,0.00235,0.0332,0.944,0.00115,0.066,0.986
bcc_T,voice,-0.00795,0.00204,9.82e-5,-0.00761,0.00388,0.0511
bcc_T,ln_gdppc,0.0495,0.0306,0.105,0.048,0.0398,0.23
bcc_T,trade,-5.62e-4,2.17e-4,0.00949,-5.44e-4,4.53e-4,0.232
bcc_T,z_score,0.00449,0.00191,0.0188,0.00441,0.00242,0.0692
bcc_T,npl,5.23e-4,0.00184,0.776,5.33e-4,0.00169,0.752
bcc_T,zero_inv,0.224,0.0554,5.34e-5,0.218,0.0744,0.00377
bcc_T,tend,-0.00504,0.00609,0.407,-0.00505,0.00824,0.541
bcc_T,logSigma,-1.63,0.0509,1.5099999999999992e-224,NA,NA,NA
bcc_C,(Intercept),-0.0107,0.335,0.975,-0.0171,0.443,0.969
bcc_C,manuf_pib,0.00981,0.00449,0.029,0.00971,0.00869,0.265
bcc_C,manuf_exp,-0.00205,8.46e-4,0.0154,-0.00199,0.00153,0.194
bcc_C,gov,-0.00274,0.0354,0.938,-0.00326,0.0688,0.962
bcc_C,voice,-0.00748,0.00217,5.78e-4,-0.00712,0.00448,0.113
bcc_C,ln_gdppc,0.0616,0.0325,0.0581,0.0596,0.0399,0.137
bcc_C,trade,-6.9e-4,2.31e-4,0.00278,-6.77e-4,5.11e-4,0.187
bcc_C,z_score,0.00767,0.00204,1.67e-4,0.00748,0.00283,0.00893
bcc_C,npl,3.98e-4,0.00196,0.839,4.5e-4,0.00184,0.807
bcc_C,zero_inv,0.299,0.0592,4.18e-7,0.288,0.0834,6.85e-4
bcc_C,tend,-0.0063,0.00648,0.331,-0.00626,0.00828,0.45
bcc_C,logSigma,-1.57,0.0511,2.409999999999999e-206,NA,NA,NA
se_ST,NA,NA,NA,NA,NA,NA,NA
bcc_S_int,(Intercept),-0.611,0.328,0.0625,-0.578,0.568,0.31
bcc_S_int,manuf_pib,0.00352,0.0044,0.425,0.00425,0.00772,0.582
bcc_S_int,manuf_exp,-0.00249,8.29e-4,0.00266,-0.00227,0.00179,0.205
bcc_S_int,gov,0.00418,0.0349,0.905,0.00969,0.0664,0.884
bcc_S_int,voice,4.52e-4,0.00213,0.832,5.45e-4,0.00357,0.879
bcc_S_int,ln_gdppc,0.0795,0.0318,0.0124,0.0767,0.045,0.0898
bcc_S_int,trade,0.00167,2.36e-4,1.6e-12,0.00144,3.56e-4,7.25e-5
bcc_S_int,z_score,0.00348,0.00204,0.0888,0.00216,0.00317,0.496
bcc_S_int,npl,0.00184,0.00192,0.337,0.00228,0.00298,0.445
bcc_S_int,zero_inv,0.421,0.0605,3.54e-12,0.371,0.0902,5.83e-5
bcc_S_int,tend,0.0129,0.00633,0.0408,0.0128,0.00748,0.088
bcc_S_int,logSigma,-1.59,0.0524,5.379999999999998e-203,NA,NA,NA
bcc_T_int,(Intercept),0.069,0.375,0.854,0.0373,0.495,0.94
bcc_T_int,manuf_pib,0.0108,0.00503,0.0322,0.0108,0.0102,0.291
bcc_T_int,manuf_exp,-0.00286,9.47e-4,0.00252,-0.00282,0.00163,0.0849
bcc_T_int,gov,0.0189,0.0396,0.633,0.0175,0.0704,0.804
bcc_T_int,voice,-0.00646,0.00243,0.00796,-0.00617,0.0043,0.153
bcc_T_int,ln_gdppc,0.0462,0.0364,0.205,0.0469,0.0475,0.325
bcc_T_int,trade,-3.43e-4,2.58e-4,0.185,-3.41e-4,5.52e-4,0.537
bcc_T_int,z_score,0.00831,0.00228,2.67e-4,0.00824,0.00296,0.00587
bcc_T_int,npl,-0.0015,0.00219,0.495,-0.00139,0.00181,0.446
bcc_T_int,zero_inv,0.373,0.0661,1.63e-8,0.367,0.0848,2.46e-5
bcc_T_int,tend,0.00255,0.00725,0.725,0.00254,0.0111,0.819
bcc_T_int,logSigma,-1.45,0.0514,2.7299999999999987e-176,NA,NA,NA
bcc_C_int,(Intercept),0.0951,0.388,0.806,0.0594,0.5,0.906
bcc_C_int,manuf_pib,0.0114,0.0052,0.029,0.0114,0.0107,0.29
bcc_C_int,manuf_exp,-0.00285,9.79e-4,0.00361,-0.00281,0.00168,0.0971
bcc_C_int,gov,0.0113,0.041,0.783,0.00957,0.0704,0.892
