painel,modelo,variavel,coeficiente,erro_padrao,p
A. Tobit,C,manuf_pib,0.009806,0.00449,0.02897
A. Tobit,S,manuf_pib,0.006399,0.004867,0.1886
A. Tobit,T,manuf_pib,0.009496,0.004219,0.02442
A. Tobit,C,manuf_exp,-0.00205,8.463e-4,0.0154
A. Tobit,S,manuf_exp,-7.79e-5,9.199e-4,0.9325
A. Tobit,T,manuf_exp,-0.001946,7.951e-4,0.01438
A. Tobit,C,gov,-0.002738,0.03536,0.9383
A. Tobit,S,gov,0.1184,0.03903,0.002418
A. Tobit,T,gov,0.002353,0.03322,0.9435
A. Tobit,C,voice,-0.007483,0.002174,5.782e-4
A. Tobit,S,voice,-0.006267,0.002391,0.008759
A. Tobit,T,voice,-0.007954,0.002042,9.818e-5
A. Tobit,C,ln_gdppc,0.06163,0.03253,0.05814
A. Tobit,S,ln_gdppc,-0.1489,0.03651,4.534e-5
A. Tobit,T,ln_gdppc,0.0495,0.03057,0.1054
A. Tobit,C,trade,-6.896e-4,2.305e-4,0.002777
A. Tobit,S,trade,-5.612e-4,2.503e-4,0.02498
A. Tobit,T,trade,-5.617e-4,2.166e-4,0.009488
A. Tobit,C,z_score,0.007672,0.002038,1.666e-4
A. Tobit,S,z_score,0.002225,0.002218,0.3157
A. Tobit,T,z_score,0.004494,0.001913,0.01882
A. Tobit,C,npl,3.981e-4,0.001956,0.8387
A. Tobit,S,npl,0.00882,0.002241,8.328e-5
A. Tobit,T,npl,5.231e-4,0.001838,0.776
A. Tobit,C,zero_inv,0.2994,0.05916,4.177e-7
A. Tobit,S,zero_inv,0.009585,0.06489,0.8826
A. Tobit,T,zero_inv,0.2239,0.05542,5.337e-5
A. Tobit,C,tend,-0.006296,0.006477,0.3311
A. Tobit,S,tend,0.01391,0.007081,0.04951
A. Tobit,T,tend,-0.005044,0.006086,0.4073
B. MQO com erros agrupados por país,C,manuf_pib,0.00971,0.008693,0.2654
B. MQO com erros agrupados por país,S,manuf_pib,0.005965,0.009133,0.5144
B. MQO com erros agrupados por país,T,manuf_pib,0.009367,0.007198,0.1947
B. MQO com erros agrupados por país,C,manuf_exp,-0.001992,0.001527,0.1936
B. MQO com erros agrupados por país,S,manuf_exp,3.79e-5,0.002257,0.9866
B. MQO com erros agrupados por país,T,manuf_exp,-0.001896,0.001461,0.1958
B. MQO com erros agrupados por país,C,gov,-0.003262,0.06876,0.9622
B. MQO com erros agrupados por país,S,gov,0.09463,0.07707,0.221
B. MQO com erros agrupados por país,T,gov,0.001151,0.06595,0.9861
B. MQO com erros agrupados por país,C,voice,-0.007122,0.00448,0.1135
B. MQO com erros agrupados por país,S,voice,-0.005489,0.004401,0.2138
B. MQO com erros agrupados por país,T,voice,-0.007607,0.003876,0.05114
B. MQO com erros agrupados por país,C,ln_gdppc,0.05957,0.03992,0.1373
B. MQO com erros agrupados por país,S,ln_gdppc,-0.1259,0.06561,0.05637
B. MQO com erros agrupados por país,T,ln_gdppc,0.04799,0.03984,0.2298
B. MQO com erros agrupados por país,C,trade,-6.769e-4,5.113e-4,0.1871
B. MQO com erros agrupados por país,S,trade,-4.882e-4,4.201e-4,0.2467
B. MQO com erros agrupados por país,T,trade,-5.441e-4,4.534e-4,0.2315
B. MQO com erros agrupados por país,C,z_score,0.007478,0.002831,0.008931
B. MQO com erros agrupados por país,S,z_score,0.001399,0.003378,0.6792
B. MQO com erros agrupados por país,T,z_score,0.004414,0.002416,0.06922
B. MQO com erros agrupados por país,C,npl,4.497e-4,0.001842,0.8074
B. MQO com erros agrupados por país,S,npl,0.007541,0.002397,0.001915
B. MQO com erros agrupados por país,T,npl,5.328e-4,0.001686,0.7524
B. MQO com erros agrupados por país,C,zero_inv,0.2879,0.08342,6.848e-4
B. MQO com erros agrupados por país,S,zero_inv,7.657e-4,0.09979,0.9939
B. MQO com erros agrupados por país,T,zero_inv,0.2181,0.07437,0.003769
B. MQO com erros agrupados por país,C,tend,-0.006263,0.008279,0.4502
B. MQO com erros agrupados por país,S,tend,0.01148,0.008376,0.1719
B. MQO com erros agrupados por país,T,tend,-0.005048,0.00824,0.5408
C. Simar-Wilson em log(delta),C,manuf_pib,-0.08527,0.0305,0.004
C. Simar-Wilson em log(delta),S,manuf_pib,-0.01589,0.01247,0.2
C. Simar-Wilson em log(delta),T,manuf_pib,-0.09647,0.03287,0
C. Simar-Wilson em log(delta),C,manuf_exp,0.01664,0.005606,0.004
C. Simar-Wilson em log(delta),S,manuf_exp,-2.421e-4,0.00236,0.96
C. Simar-Wilson em log(delta),T,manuf_exp,0.01867,0.006028,0
C. Simar-Wilson em log(delta),C,gov,0.418,0.2424,0.068
C. Simar-Wilson em log(delta),S,gov,-0.3253,0.1137,0.008
C. Simar-Wilson em log(delta),T,gov,0.4258,0.2806,0.164
C. Simar-Wilson em log(delta),C,voice,0.04689,0.01532,0.008
C. Simar-Wilson em log(delta),S,voice,0.01305,0.006364,0.024
C. Simar-Wilson em log(delta),T,voice,0.04493,0.01783,0.008
C. Simar-Wilson em log(delta),C,ln_gdppc,-0.6166,0.2319,0.008
C. Simar-Wilson em log(delta),S,ln_gdppc,0.4281,0.1172,0
C. Simar-Wilson em log(delta),T,ln_gdppc,-0.4645,0.248,0.06
C. Simar-Wilson em log(delta),C,trade,0.004528,0.001677,0.004
C. Simar-Wilson em log(delta),S,trade,7.502e-4,6.616e-4,0.252
C. Simar-Wilson em log(delta),T,trade,0.002365,0.001765,0.188
C. Simar-Wilson em log(delta),C,z_score,-0.07381,0.01414,0
C. Simar-Wilson em log(delta),S,z_score,-0.00215,0.005791,0.672
C. Simar-Wilson em log(delta),T,z_score,-0.0566,0.01479,0
C. Simar-Wilson em log(delta),C,npl,-0.01187,0.0141,0.364
C. Simar-Wilson em log(delta),S,npl,-0.03041,0.007478,0
C. Simar-Wilson em log(delta),T,npl,-0.01301,0.0143,0.388
C. Simar-Wilson em log(delta),C,zero_inv,-2.216,0.5065,0
C. Simar-Wilson em log(delta),S,zero_inv,0.1921,0.1776,0.256
C. Simar-Wilson em log(delta),T,zero_inv,-2.116,0.5208,0
C. Simar-Wilson em log(delta),C,tend,0.0924,0.04768,0.064
C. Simar-Wilson em log(delta),S,tend,-0.0413,0.01922,0.024
