painel,contextual,C,S,T
A. Tobit,Manufatura (% do PIB),0.010** (0.004),0.006 (0.005),0.009** (0.004)
A. Tobit,Manufaturados (% das exportações),-0.002** (0.001),-0.000 (0.001),-0.002** (0.001)
A. Tobit,Governança (índice),-0.003 (0.035),0.118*** (0.039),0.002 (0.033)
A. Tobit,Voz e responsabilização,-0.007*** (0.002),-0.006*** (0.002),-0.008*** (0.002)
A. Tobit,ln PIB per capita,0.062* (0.033),-0.149*** (0.037),0.050 (0.031)
A. Tobit,Comércio (% do PIB),-0.001*** (0.000),-0.001** (0.000),-0.001*** (0.000)
A. Tobit,Z-score bancário,0.008*** (0.002),0.002 (0.002),0.004** (0.002)
A. Tobit,Empréstimos inadimplentes,0.000 (0.002),0.009*** (0.002),0.001 (0.002)
A. Tobit,Investimento igual a zero,0.299*** (0.059),0.010 (0.065),0.224*** (0.055)
A. Tobit,Tendência,-0.006 (0.006),0.014** (0.007),-0.005 (0.006)
B. MQO com erros agrupados por país,Manufatura (% do PIB),0.010 (0.009),0.006 (0.009),0.009 (0.007)
B. MQO com erros agrupados por país,Manufaturados (% das exportações),-0.002 (0.002),0.000 (0.002),-0.002 (0.001)
B. MQO com erros agrupados por país,Governança (índice),-0.003 (0.069),0.095 (0.077),0.001 (0.066)
B. MQO com erros agrupados por país,Voz e responsabilização,-0.007 (0.004),-0.005 (0.004),-0.008* (0.004)
B. MQO com erros agrupados por país,ln PIB per capita,0.060 (0.040),-0.126* (0.066),0.048 (0.040)
B. MQO com erros agrupados por país,Comércio (% do PIB),-0.001 (0.001),-0.000 (0.000),-0.001 (0.000)
B. MQO com erros agrupados por país,Z-score bancário,0.007*** (0.003),0.001 (0.003),0.004* (0.002)
B. MQO com erros agrupados por país,Empréstimos inadimplentes,0.000 (0.002),0.008*** (0.002),0.001 (0.002)
B. MQO com erros agrupados por país,Investimento igual a zero,0.288*** (0.083),0.001 (0.100),0.218*** (0.074)
B. MQO com erros agrupados por país,Tendência,-0.006 (0.008),0.011 (0.008),-0.005 (0.008)
C. Simar-Wilson em log(delta),Manufatura (% do PIB),-0.085*** (0.031),-0.016 (0.012),-0.096*** (0.033)
C. Simar-Wilson em log(delta),Manufaturados (% das exportações),0.017*** (0.006),-0.000 (0.002),0.019*** (0.006)
C. Simar-Wilson em log(delta),Governança (índice),0.418* (0.242),-0.325*** (0.114),0.426 (0.281)
C. Simar-Wilson em log(delta),Voz e responsabilização,0.047*** (0.015),0.013** (0.006),0.045*** (0.018)
C. Simar-Wilson em log(delta),ln PIB per capita,-0.617*** (0.232),0.428*** (0.117),-0.464* (0.248)
C. Simar-Wilson em log(delta),Comércio (% do PIB),0.005*** (0.002),0.001 (0.001),0.002 (0.002)
C. Simar-Wilson em log(delta),Z-score bancário,-0.074*** (0.014),-0.002 (0.006),-0.057*** (0.015)
C. Simar-Wilson em log(delta),Empréstimos inadimplentes,-0.012 (0.014),-0.030*** (0.007),-0.013 (0.014)
C. Simar-Wilson em log(delta),Investimento igual a zero,-2.216*** (0.507),0.192 (0.178),-2.116*** (0.521)
C. Simar-Wilson em log(delta),Tendência,0.092* (0.048),-0.041** (0.019),0.071 (0.047)
