modelo,Country_Year,Country,Year,zero_inv,esc_contemp,esc_seq,esc_uniao,esc_global,tgr,tgr_uniao,convexificacao
S,Argentina-2013,Argentina,2013,FALSE,0.2321,0.2321,0.1177,0.1152,0.4964,0.5071,1.0217
S,Argentina-2016,Argentina,2016,FALSE,0.2516,0.1491,0.1585,0.1455,0.5784,0.6301,1.0895
S,Argentina-2017,Argentina,2017,FALSE,0.2438,0.152,0.1635,0.1456,0.5972,0.6708,1.1233
S,Argentina-2018,Argentina,2018,FALSE,0.2875,0.2007,0.2324,0.1965,0.6835,0.8082,1.1825
S,Argentina-2019,Argentina,2019,FALSE,0.3712,0.1614,0.1903,0.1573,0.4238,0.5127,1.2099
S,Argentina-2020,Argentina,2020,FALSE,0.2028,0.1765,0.2028,0.1765,0.8703,1,1.149
S,Argentina-2021,Argentina,2021,FALSE,0.4121,0.1795,0.2206,0.1795,0.4356,0.5353,1.2289
S,Australia-2013,Australia,2013,FALSE,1,1,1,1,1,1,1
S,Australia-2015,Australia,2015,FALSE,0.6767,0.3879,0.3902,0.3765,0.5563,0.5766,1.0365
S,Australia-2017,Australia,2017,FALSE,1,0.5454,0.571,0.5454,0.5454,0.571,1.0469
S,Australia-2019,Australia,2019,FALSE,1,0.4993,0.6204,0.4993,0.4993,0.6204,1.2426
S,Austria-2013,Austria,2013,FALSE,0.4369,0.4369,0.4011,0.3275,0.7495,0.9182,1.225
S,Austria-2014,Austria,2014,FALSE,0.3524,0.2766,0.3524,0.2766,0.785,1,1.2739
S,Austria-2015,Austria,2015,FALSE,0.7225,0.4049,0.4847,0.4049,0.5604,0.6708,1.197
S,Austria-2016,Austria,2016,FALSE,0.596,0.3736,0.4814,0.3736,0.627,0.8078,1.2884
S,Austria-2017,Austria,2017,FALSE,0.6332,0.3223,0.3789,0.3223,0.5089,0.5983,1.1757
S,Austria-2018,Austria,2018,FALSE,0.4959,0.2342,0.2399,0.2342,0.4723,0.4837,1.0242
S,Austria-2019,Austria,2019,FALSE,0.5455,0.2319,0.2484,0.2319,0.425,0.4553,1.0714
S,Austria-2020,Austria,2020,FALSE,0.4999,0.2455,0.2888,0.2455,0.4911,0.5776,1.1761
S,Austria-2021,Austria,2021,FALSE,0.5836,0.2358,0.2424,0.2358,0.4041,0.4154,1.0279
S,Belgium-2013,Belgium,2013,FALSE,0.4484,0.4484,0.4314,0.3612,0.8056,0.9621,1.1943
S,Belgium-2016,Belgium,2016,FALSE,0.2906,0.1894,0.1961,0.1886,0.6487,0.6746,1.0398
S,Belgium-2017,Belgium,2017,FALSE,0.321,0.1333,0.1333,0.1272,0.3962,0.4154,1.0484
S,Belgium-2018,Belgium,2018,FALSE,0.6018,0.2852,0.2985,0.2852,0.4738,0.4961,1.047
S,Brazil-2013,Brazil,2013,FALSE,0.6641,0.6641,0.6641,0.6066,0.9134,1,1.0948
S,Brazil-2014,Brazil,2014,FALSE,0.5314,0.3727,0.4135,0.3727,0.7014,0.7782,1.1095
S,Brazil-2015,Brazil,2015,FALSE,0.4234,0.2782,0.2852,0.2473,0.5842,0.6735,1.153
S,Brazil-2016,Brazil,2016,FALSE,1,0.4705,0.5513,0.4705,0.4705,0.5513,1.1717
S,Brazil-2017,Brazil,2017,FALSE,0.6245,0.2961,0.3338,0.2961,0.4741,0.5346,1.1274
S,Brazil-2018,Brazil,2018,FALSE,0.6581,0.3056,0.3836,0.3056,0.4644,0.583,1.2552
S,Brazil-2019,Brazil,2019,FALSE,0.429,0.2747,0.3031,0.2747,0.6403,0.7065,1.1034
S,Brazil-2020,Brazil,2020,FALSE,0.6043,0.256,0.2851,0.256,0.4236,0.4718,1.1137
S,Bulgaria-2018,Bulgaria,2018,FALSE,0.5456,0.5456,0.4979,0.4901,0.8983,0.9127,1.016
S,Bulgaria-2019,Bulgaria,2019,FALSE,0.8744,0.5993,0.6022,0.5855,0.6696,0.6887,1.0286
S,Bulgaria-2021,Bulgaria,2021,FALSE,1,0.7504,0.7641,0.7504,0.7504,0.7641,1.0183
S,Chile-2014,Chile,2014,FALSE,0.613,0.3612,0.1853,0.1825,0.2978,0.3023,1.015
S,Chile-2015,Chile,2015,TRUE,0.616,0.6028,0.3336,0.3284,0.5331,0.5415,1.0158
S,Chile-2017,Chile,2017,FALSE,0.3765,0.3233,0.2569,0.2535,0.6732,0.6824,1.0136
S,Chile-2018,Chile,2018,FALSE,0.3339,0.3339,0.2629,0.2619,0.7844,0.7875,1.0039
S,Chile-2019,Chile,2019,FALSE,0.3886,0.3702,0.3341,0.3296,0.8482,0.8596,1.0135
S,China-2013,China,2013,FALSE,1,1,1,1,1,1,1
S,China-2014,China,2014,FALSE,1,1,1,0.8887,0.8887,1,1.1253
S,China-2015,China,2015,FALSE,1,1,1,0.8741,0.8741,1,1.144
S,China-2016,China,2016,FALSE,1,1,0.6604,0.6407,0.6407,0.6604,1.0307
S,China-2017,China,2017,FALSE,1,1,0.8501,0.7548,0.7548,0.8501,1.1262
S,China-2018,China,2018,FALSE,1,1,0.8058,0.7655,0.7655,0.8058,1.0527
S,China-2019,China,2019,FALSE,1,1,1,1,1,1,1
S,China-2020,China,2020,FALSE,1,1,1,1,1,1,1
S,China-2021,China,2021,FALSE,1,1,1,1,1,1,1
S,Colombia-2015,Colombia,2015,TRUE,0.8556,0.835,0.4619,0.4581,0.5354,0.5399,1.0083
S,Colombia-2017,Colombia,2017,FALSE,0.7508,0.6566,0.6313,0.6028,0.8029,0.8408,1.0472
S,Colombia-2019,Colombia,2019,FALSE,0.6084,0.6076,0.5505,0.5483,0.9011,0.9049,1.0042
