Country,ano_ini,ano_fim,n,M_global,EC,BPC
Ukraine,2013,2018,6,4.95,1,4.95
United States,2013,2021,9,1.937,0.898,2.157
Chile,2014,2019,5,1.806,0.634,2.848
South Africa,2014,2020,6,1.798,1.674,1.074
Greece,2014,2021,8,1.702,1,1.702
Luxembourg,2016,2021,6,1.695,0.722,2.349
Argentina,2013,2021,7,1.558,1.775,0.878
Indonesia,2013,2016,2,1.547,1,1.547
Bulgaria,2018,2021,3,1.531,1.833,0.835
Israel,2013,2021,9,1.506,2.958,0.509
Hungary,2013,2021,9,1.26,0.638,1.974
Mexico,2013,2021,9,1.251,0.977,1.28
United Kingdom,2013,2021,3,1.202,1.331,0.903
Colombia,2015,2019,3,1.197,0.711,1.683
Ireland,2016,2018,2,1.195,1.459,0.819
Romania,2016,2021,6,1.043,1,1.043
China,2013,2021,9,1,1,1
India,2013,2020,8,1,1,1
Peru,2018,2021,4,1,1,1
Malaysia,2014,2020,5,0.954,1,0.954
Singapore,2013,2019,7,0.95,0.912,1.042
Italy,2013,2014,2,0.947,1.117,0.848
Spain,2013,2021,9,0.851,1.887,0.451
Norway,2013,2019,6,0.812,0.767,1.059
Belgium,2013,2018,4,0.789,1.342,0.588
Portugal,2014,2018,5,0.754,0.754,1
Poland,2013,2021,9,0.722,1,0.722
Austria,2013,2021,9,0.72,1.336,0.539
Japan,2013,2021,9,0.678,1.691,0.401
Croatia,2015,2019,3,0.642,0.508,1.265
France,2013,2018,6,0.641,1.332,0.481
Australia,2013,2019,4,0.499,1,0.499
Brazil,2013,2020,8,0.422,0.91,0.464
Netherlands,2013,2017,5,0.338,0.773,0.438
