Country,Year,Country_Year,zero_inv,inv_const_mi,rd_mi,pubs,pat,manuf_pib,bcc_S,bcc_T,bcc_C,pares_C,bcc_ST,super_CRS,tgr
Brazil,2013,Brazil-2013,FALSE,2.3888,22228.5816,1383,38.9999,10.4796,0.6066,0.4817,0.5571,Australia-2013; China-2013; Ukraine-2014,0.6066,0.3617,0.9214
Brazil,2014,Brazil-2014,FALSE,21.9494,23724.0224,1586,32.9999,10.3371,0.3727,0.115,0.1497,China-2013; China-2020; Ukraine-2014,0.3727,0.0999,0.4853
Brazil,2015,Brazil-2015,FALSE,144.0495,24707.0368,1867,57.9999,10.5209,0.2473,0.0535,0.057,China-2013; China-2020; Ukraine-2014,0.2495,0.0805,0.2593
Brazil,2016,Brazil-2016,FALSE,14.5389,22423.6166,1803,78.9999,10.7865,0.4705,0.3637,0.4351,China-2013; China-2020; Ukraine-2014,0.4705,0.1715,0.4351
Brazil,2017,Brazil-2017,FALSE,125.8672,19737.6193,2007,82.9999,10.7215,0.2961,0.0882,0.0917,China-2013; China-2020; Ukraine-2014,0.3081,0.1178,0.4817
Brazil,2018,Brazil-2018,FALSE,202.2438,20992.0309,2451,147.0002,10.5285,0.3056,0.1019,0.1039,China-2013; China-2020; Ukraine-2014,0.3286,0.1351,0.5118
Brazil,2019,Brazil-2019,FALSE,396.7892,22035.5975,2812,144.9997,10.3325,0.2747,0.0535,0.0541,China-2013; China-2020; Ukraine-2014,0.2812,0.1367,0.8374
Brazil,2020,Brazil-2020,FALSE,749.3344,20157.2627,3199,148.0003,10.6929,0.256,0.0374,0.0427,China-2020; Ukraine-2014,0.2635,0.1669,0.9682
China,2013,China-2013,FALSE,144.5243,192186.1362,24562,1933.6348,30.1275,1,1,1,China-2013,1,0.3804,1
China,2014,China-2014,FALSE,1729.3778,208995.8879,26176,2455.194,29.83,0.8887,0.1997,0.2015,China-2013; China-2020; Ukraine-2014,0.8887,0.2045,0.2015
China,2015,China-2015,FALSE,1632.5614,227538.211,26126,3900.0128,28.389,0.8741,0.3331,0.3373,China-2013; China-2020; Ukraine-2014,0.8741,0.2862,0.3373
China,2016,China-2016,FALSE,5633.2741,248242.2168,26491,7863.8796,27.5238,0.6407,0.208,0.265,China-2020; Ukraine-2014,0.6407,0.2359,0.265
China,2017,China-2017,FALSE,5042.2167,267472.5373,31257,14633.8919,27.5999,0.7548,0.4295,0.4344,China-2013; China-2020; Ukraine-2014,0.7548,0.4191,0.4344
China,2018,China-2018,FALSE,9258.0455,288837.0135,39363,27272.0069,27.3434,0.7655,0.4936,0.6176,China-2020; Ukraine-2014,0.7655,0.5299,0.6176
China,2019,China-2019,FALSE,7602.4807,320901.2973,51258,43324.593,26.2595,1,0.8508,0.8508,China-2013; China-2020,1,0.8369,0.8508
China,2020,China-2020,FALSE,9803.2282,351767.0639,58225,65375.715,25.581,1,1,1,China-2020,1,1.266,1
China,2021,China-2021,FALSE,20666.8438,385598.7271,77180,84610.7903,26.6219,1,1,1,China-2021,1,1.1848,1
France,2013,France-2013,FALSE,58.5264,53528.3256,4371,28.7003,10.2533,0.5166,0.0425,0.0506,China-2013; China-2020; Ukraine-2014,0.5166,0.0927,0.6123
France,2014,France-2014,FALSE,1433.6392,55002.1566,4815,33.8261,10.1815,0.277,0.0035,0.0064,China-2020; Ukraine-2014,0.277,0.0793,0.0961
France,2015,France-2015,FALSE,398.9943,54394.5187,5137,35.8798,10.3199,0.386,0.0124,0.0129,China-2013; China-2020; Ukraine-2014,0.386,0.0855,0.2714
France,2016,France-2016,FALSE,798.5225,54748.1072,5049,67.6602,10.1652,0.3176,0.0123,0.0126,China-2013; China-2020; Ukraine-2014,0.3176,0.0856,0.2174
France,2017,France-2017,FALSE,1213.4885,55297.8729,5113,99.4267,10.0101,0.3026,0.0122,0.0177,China-2020; Ukraine-2014,0.3026,0.0879,0.4167
France,2018,France-2018,FALSE,1289.4328,56151.2437,5669,188.6023,9.8862,0.3309,0.0218,0.0302,China-2020; Ukraine-2014,0.3309,0.1012,0.6105
Ireland,2016,Ireland-2016,FALSE,220.3206,3596.7602,486,2.0008,32.6268,0.1606,0.0027,0.0048,China-2020; Ukraine-2014,0.161,0.1215,0.229
Ireland,2018,Ireland-2018,FALSE,130.3805,4228.322,612,1.9978,32.78,0.1919,0.0026,0.0036,China-2020; Ukraine-2014,0.1919,0.1298,0.5935
Israel,2013,Israel-2013,FALSE,186.3288,11466.5027,598,9.3602,12.9828,0.094,0.0073,0.0172,China-2020; Ukraine-2014,0.094,0.0488,0.1193
Israel,2014,Israel-2014,FALSE,172.1291,12162.3496,703,6.242,12.5093,0.1103,0.0052,0.0094,China-2020; Ukraine-2014,0.1103,0.0527,0.1281
Israel,2015,Israel-2015,FALSE,477.8786,12758.6548,742,16.6501,12.9237,0.084,0.0067,0.0236,China-2020; Ukraine-2014,0.0871,0.0559,0.1605
Israel,2016,Israel-2016,FALSE,541.2953,14128.1488,831,5.2046,12.0961,0.085,0.0019,0.0065,China-2020; Ukraine-2014,0.085,0.0532,0.2661
Israel,2017,Israel-2017,FALSE,621.8053,15234.0303,954,21.8828,11.5024,0.0891,0.0072,0.0232,China-2020; Ukraine-2014,0.0928,0.0604,0.4108
Israel,2018,Israel-2018,FALSE,1199.0904,16375.8221,1160,20.876,11.6781,0.0926,0.0059,0.0178,China-2020; Ukraine-2014,0.0965,0.067,0.6063
Israel,2019,Israel-2019,FALSE,1394.714,18559.6466,1595,21.9618,11.6355,0.1167,0.0055,0.0132,China-2020; Ukraine-2014,0.1167,0.0799,0.7318
Israel,2020,Israel-2020,FALSE,2514.8631,20005.5989,1931,24.0839,12.3191,0.1365,0.0056,0.0118,China-2020; Ukraine-2014,0.1365,0.0892,0.9567
Israel,2021,Israel-2021,FALSE,5493.4944,21304.4121,2124,24.102,11.9008,0.1416,0.0052,0.0107,China-2020; Ukraine-2014,0.1416,0.0917,0.9294
Japan,2013,Japan-2013,FALSE,48.971,143083.9771,5736,353.2275,19.1807,0.5915,0.5078,0.6293,China-2013; China-2020; Ukraine-2014,0.5915,0.1803,0.8076
Japan,2014,Japan-2014,FALSE,86.6422,147399.6511,5539,511.1545,19.4078,0.356,0.4318,0.6425,China-2013; China-2020; Ukraine-2014,0.4318,0.1448,0.6425
Japan,2015,Japan-2015,FALSE,256.0881,144047.2919,5865,738.2168,20.074,0.2821,0.3058,0.389,China-2013; China-2020; Ukraine-2014,0.3089,0.1477,0.389
Japan,2016,Japan-2016,FALSE,931.6096,139129.8991,5996,1357.1041,20.0278,0.2671,0.2005,0.2173,China-2013; China-2020; Ukraine-2014,0.2708,0.1565,0.2173
Japan,2017,Japan-2017,FALSE,718.6261,144179.2482,6348,2377.2666,20.1439,0.2843,0.4391,0.4861,China-2013; China-2020; Ukraine-2014,0.4391,0.2951,0.4861
