Country,pat,residentes,nao_residentes,total,pop_mi,epo
Argentina,4.8571,589,3204.4286,3793.4286,44.4149,FALSE
Australia,262.7629,2623,26623.5,29246.5,24.2179,FALSE
Austria,8.552,2079,216,2295,8.7551,TRUE
Belgium,3.2496,915.5,178.5,1094,11.3233,TRUE
Brazil,91.5,5082.875,22380.125,27463,203.7978,FALSE
Bulgaria,2.6668,177,10.3333,187.3333,6.9595,FALSE
Chile,1.6,432.8,2689.2,3122,18.5123,FALSE
China,27929.9687,1148206.3333,140766.8889,1288973.2222,1392.5489,FALSE
Colombia,2,446,1811,2257,48.3364,FALSE
Croatia,1.3217,161.6667,16,177.6667,4.03,FALSE
France,75.6826,14403.3333,1997.6667,16401,66.6098,TRUE
Greece,5.6246,485.625,181.875,667.5,10.7458,TRUE
Hungary,3.6676,507.1111,43.1111,550.2222,9.8012,FALSE
India,115.5,15291.5,32662.875,47954.375,1350.7549,FALSE
Indonesia,1.5,882,7662.5,8544.5,260.2399,FALSE
Ireland,1.9993,77.5,51,128.5,4.8113,TRUE
Israel,16.707,1383.8889,5886.2222,7270.1111,8.7153,TRUE
Italy,7.9716,8454,843,9297,60.5115,TRUE
Japan,2264.1594,251763,60372.1111,312135.1111,126.8107,FALSE
Luxembourg,12.4955,134.8333,589.1667,724,0.6128,FALSE
Malaysia,9.8,1167.8,6173.4,7341.2,32.1038,FALSE
Mexico,60.2221,1285.8889,15056.8889,16342.7778,123.2927,FALSE
Netherlands,3.7616,2269.4,340.6,2610,16.9542,TRUE
Norway,3.1666,1104.1667,670,1774.1667,5.2314,TRUE
Peru,4.75,111.25,1134.5,1245.75,32.5853,FALSE
Philippines,2,529,3771,4300,109.4652,FALSE
Poland,11.3498,4057.7778,127.3333,4185.1111,37.8671,FALSE
Portugal,6.5823,735.2,26,761.2,10.3337,TRUE
Romania,6.4596,945.5,55.8333,1001.3333,19.4206,FALSE
Singapore,87.2416,1489.5714,9758.8571,11248.4286,5.5665,FALSE
Slovenia,4.0085,255,23,278,2.0739,FALSE
South Africa,3.3333,666.6667,6470.5,7137.1667,58.2088,FALSE
Spain,39.4341,2138,175,2313,46.8152,TRUE
Switzerland,2.9994,1477,446,1923,8.2824,TRUE
Ukraine,8.7963,2367.8333,2104.1667,4472,43.7285,FALSE
United Kingdom,190.4489,13920,7691,21611,65.2523,TRUE
United States,7800.2921,283614.5556,311895.4444,595510,324.6902,FALSE
