Country,Year,pubs,oa_ai,oa_total,artigos_se_nsf,razao_base_openalex,ai_share_oa,stem_share,social_share
Argentina,2013,181,302,19240,7700,0.5993,0.0157,0.4829,0.3478
Argentina,2016,215,300,22780,8320,0.7167,0.01317,0.4422,0.3884
Argentina,2017,233,293,23710,8536,0.7952,0.01236,0.4336,0.3835
Argentina,2018,271,313,25960,9044,0.8658,0.01206,0.435,0.3856
Argentina,2019,222,336,25950,9080,0.6607,0.01295,0.4259,0.3952
Argentina,2020,324,382,30110,9992,0.8482,0.01269,0.4103,0.394
Argentina,2021,315,364,28550,9944,0.8654,0.01275,0.4035,0.3842
Australia,2013,2266,2060,81760,50400,1.1,0.0252,0.4676,0.2223
Australia,2015,2607,2371,91360,53540,1.1,0.02595,0.4709,0.2181
Australia,2017,2990,2510,96730,54670,1.191,0.02595,0.4703,0.21560000000000001
Australia,2019,4657,3079,105700,57310,1.513,0.02913,0.4832,0.206
Austria,2013,709,624,20790,12200,1.136,0.03001,0.5394,0.1465
Austria,2014,701,651,21900,12370,1.077,0.02972,0.5483,0.1474
Austria,2015,815,682,22830,12950,1.195,0.02987,0.5446,0.1521
Austria,2016,915,737,24550,12790,1.242,0.03002,0.5468,0.1648
Austria,2017,941,683,24290,12860,1.378,0.02812,0.5477,0.1645
Austria,2018,1093,822,25420,12800,1.33,0.03234,0.5415,0.1733
Austria,2019,1312,782,26430,13270,1.678,0.02959,0.5382,0.1729
Austria,2020,1473,903,30000,13440,1.631,0.0301,0.5131,0.1839
Austria,2021,1786,1081,31660,14370,1.652,0.03414,0.5087,0.195
Belgium,2013,899,702,32400,16400,1.281,0.02167,0.4878,0.2102
Belgium,2016,951,728,36520,16560,1.306,0.01993,0.477,0.2202
Belgium,2017,998,764,36580,16090,1.306,0.02089,0.4724,0.2161
Belgium,2018,1242,778,37720,16200,1.596,0.02062,0.4658,0.2198
Brazil,2013,1383,1602,115000,45990,0.8633,0.01392,0.3961,0.3503
Brazil,2014,1586,1744,128000,48190,0.9094,0.01362,0.4005,0.3514
Brazil,2015,1867,1915,137200,49340,0.9749,0.01395,0.3958,0.368
Brazil,2016,1803,2043,155900,51740,0.8825,0.0131,0.3822,0.3968
Brazil,2017,2007,2210,168300,55050,0.9081,0.01313,0.3744,0.4047
Brazil,2018,2451,2395,178400,58870,1.023,0.01343,0.3865,0.4001
Brazil,2019,2812,2628,187700,62580,1.07,0.014,0.3837,0.3995
Brazil,2020,3199,2978,218900,66900,1.074,0.0136,0.3785,0.3987
Bulgaria,2018,227,212,6827,3245,1.071,0.03105,0.5554,0.1794
Bulgaria,2019,309,216,7298,4258,1.431,0.0296,0.5595,0.1951
Bulgaria,2021,365,262,8641,4748,1.393,0.03032,0.5282,0.2195
Chile,2014,180,296,14960,5581,0.6081,0.01978,0.4409,0.3487
Chile,2015,253,293,17330,5789,0.8635,0.0169,0.4263,0.3582
Chile,2017,249,299,19370,6638,0.8328,0.01544,0.4242,0.3485
Chile,2018,277,340,20820,7148,0.8147,0.01633,0.4415,0.3494
Chile,2019,325,376,22420,7480,0.8644,0.01677,0.4284,0.3637
China,2013,24560,21880,538000,351500,1.123,0.04066,0.7292,0.09842
China,2014,26180,20280,518900,379500,1.291,0.03909,0.7333,0.08815
China,2015,26130,14980,448500,401100,1.744,0.03339,0.7259,0.08898
China,2016,26490,11090,375500,430300,2.388,0.02954,0.755,0.05414
China,2017,31260,12510,413200,464200,2.499,0.03027,0.7528,0.05047
China,2018,39360,15570,476900,513600,2.528,0.03265,0.7621,0.05342
China,2019,51260,19570,550000,608600,2.619,0.03559,0.7652,0.05631
China,2020,58220,23840,611800,671700,2.442,0.03897,0.7554,0.06299
China,2021,77180,28520,673900,756200,2.706,0.04232,0.754,0.06907
Colombia,2015,400,268,21890,5116,1.493,0.01224,0.3428,0.4126
Colombia,2017,448,238,24670,6280,1.882,0.009646,0.3587,0.3986
Colombia,2019,607,279,24860,7968,2.176,0.01122,0.371,0.3828
Croatia,2015,211,142,8983,4034,1.486,0.01581,0.3765,0.3979
Croatia,2018,240,194,10540,4590,1.237,0.01841,0.3864,0.4121
Croatia,2019,266,181,10050,4604,1.47,0.018,0.4063,0.3679
France,2013,4371,3000,137100,71480,1.457,0.02188,0.4994,0.2532
France,2014,4815,3176,141500,71220,1.516,0.02245,0.5026,0.2418
France,2015,5137,3309,143700,70880,1.552,0.02303,0.501,0.2531
France,2016,5049,2987,149000,70240,1.69,0.02004,0.4879,0.2571
France,2017,5113,3030,148700,69140,1.687,0.02038,0.4813,0.2605
France,2018,5669,3288,153000,67120,1.724,0.0215,0.4727,0.2709
Greece,2014,793,478,16550,11310,1.659,0.02889,0.5029,0.1456
Greece,2015,786,490,16320,11080,1.604,0.03002,0.5002,0.1559
Greece,2016,852,525,17440,10990,1.623,0.03009,0.5087,0.1506
Greece,2017,797,582,18460,10930,1.369,0.03152,0.4994,0.1595
Greece,2018,1019,543,18490,11030,1.877,0.02936,0.489,0.1605
Greece,2019,1091,600,19730,11390,1.818,0.0304,0.4917,0.1657
Greece,2020,1366,717,22460,12100,1.905,0.03192,0.4741,0.1733
Greece,2021,1788,777,24540,13780,2.301,0.03166,0.4793,0.1699
Hungary,2013,303,271,11070,6154,1.118,0.02447,0.5636,0.2067
Hungary,2014,298,294,12410,6494,1.014,0.0237,0.5671,0.2112
Hungary,2015,305,279,12870,6389,1.093,0.02168,0.5624,0.2187
Hungary,2016,331,255,13460,6352,1.298,0.01894,0.5489,0.2238
Hungary,2017,281,312,14030,6646,0.9006,0.02224,0.5386,0.2485
Hungary,2018,398,372,14970,6659,1.07,0.02485,0.5291,0.2582
Hungary,2019,517,386,16240,7035,1.339,0.02377,0.5223,0.2661
Hungary,2020,572,437,18700,7350,1.309,0.02338,0.5013,0.2984
Hungary,2021,663,532,20220,7822,1.246,0.02631,0.4879,0.3172
India,2013,5267,3295,111800,80190,1.598,0.02946,0.6356,0.08233
India,2014,6463,3823,129400,88320,1.691,0.02953,0.6322,0.08168
India,2015,8013,4101,134100,94790,1.954,0.03058,0.6212,0.08847
India,2016,8989,4805,150800,104700,1.871,0.03187,0.6076,0.0926
India,2017,9800,5462,170000,115000,1.794,0.03213,0.6105,0.09879
India,2018,12180,6202,179500,123100,1.963,0.03455,0.6224,0.09793
India,2019,13440,6421,184700,128600,2.093,0.03476,0.6151,0.1007
India,2020,18290,7937,231500,145700,2.304,0.03428,0.5975,0.1025
Indonesia,2013,390,1734,30100,2652,0.2249,0.0576,0.4576,0.4211
Indonesia,2016,1068,4971,76500,5850,0.2148,0.06498,0.4072,0.476
Ireland,2016,486,268,14560,7094,1.813,0.0184,0.4618,0.1885
Ireland,2018,612,322,15550,7398,1.901,0.0207,0.4452,0.1959
Israel,2013,598,619,18660,11270,0.9661,0.03317,0.5222,0.1838
Israel,2014,703,648,19250,11940,1.085,0.03366,0.5206,0.1815
Israel,2015,742,642,20490,12100,1.156,0.03133,0.5033,0.1853
Israel,2016,831,633,21680,12360,1.313,0.0292,0.4854,0.1864
Israel,2017,954,612,21590,12390,1.559,0.02834,0.4934,0.1888
Israel,2018,1160,661,22470,12680,1.755,0.02942,0.4866,0.1894
Israel,2019,1595,756,23560,12950,2.11,0.03208,0.4776,0.1933
Israel,2020,1931,844,26480,13370,2.288,0.03188,0.4562,0.1989
Israel,2021,2124,955,27510,14630,2.224,0.03472,0.4498,0.1969
Italy,2013,3076,2555,89900,66220,1.204,0.02842,0.5326,0.1247
Italy,2014,3291,2547,94450,67440,1.292,0.02697,0.5293,0.1321
Japan,2013,5736,3070,129700,107000,1.868,0.02366,0.6297,0.06059
Japan,2014,5539,3041,132100,103400,1.821,0.02302,0.6264,0.06255
Japan,2015,5865,3123,134400,100600,1.878,0.02324,0.6127,0.06768
Japan,2016,5996,3030,137000,101200,1.979,0.02211,0.6094,0.06486
Japan,2017,6348,3173,140200,101900,2.001,0.02263,0.5889,0.06813
Japan,2018,7328,3348,141300,102000,2.189,0.0237,0.5891,0.07312
Japan,2019,8312,3505,141700,100200,2.371,0.02474,0.5834,0.06994
Japan,2020,8713,3922,151600,100400,2.222,0.02587,0.5703,0.07321
Japan,2021,9556,4122,154100,106300,2.318,0.02675,0.5541,0.07829
Luxembourg,2016,119,78,2441,875.8,1.526,0.03195,0.406,0.4244
Luxembourg,2017,136,100,2629,833.2,1.36,0.03804,0.4203,0.4051
Luxembourg,2018,148,92,2659,891.2,1.609,0.0346,0.4205,0.4065
Luxembourg,2019,170,113,2617,930.6,1.504,0.04318,0.4555,0.3722
Luxembourg,2020,208,111,2682,962.9,1.874,0.04139,0.4679,0.318
Luxembourg,2021,248,139,2919,1049,1.784,0.04762,0.5019,0.3046
Malaysia,2014,1530,845,24590,15760,1.811,0.03437,0.6414,0.2095
Malaysia,2015,1641,925,26230,17240,1.774,0.03527,0.62,0.2326
Malaysia,2016,1435,930,25860,17830,1.543,0.03597,0.585,0.2554
Malaysia,2018,1825,1364,32440,17630,1.338,0.04205,0.5344,0.3045
Malaysia,2020,2119,1596,39630,18860,1.328,0.04027,0.5171,0.3115
Mexico,2013,743,589,29770,12680,1.261,0.01979,0.4996,0.3194
Mexico,2014,776,634,32280,13540,1.224,0.01964,0.4932,0.313
Mexico,2015,845,684,35460,13740,1.235,0.01929,0.4821,0.3231
Mexico,2016,893,657,37410,14500,1.359,0.01756,0.4744,0.3309
Mexico,2017,899,678,39800,15400,1.326,0.01704,0.472,0.329
Mexico,2018,1076,794,43900,16400,1.355,0.01809,0.4803,0.3295
Mexico,2019,1274,815,44200,18010,1.563,0.01844,0.4708,0.3279
Mexico,2020,1438,914,48240,19330,1.573,0.01895,0.4721,0.3082
Mexico,2021,1619,918,49880,20350,1.764,0.0184,0.4711,0.309
Netherlands,2013,1491,1120,52780,31330,1.331,0.02122,0.4378,0.1929
Netherlands,2014,1547,1062,54840,31450,1.457,0.01936,0.4423,0.194
Netherlands,2015,1604,1103,56440,31290,1.454,0.01954,0.4358,0.2012
Netherlands,2016,1779,1114,57860,31100,1.597,0.01925,0.4416,0.2011
Netherlands,2017,1810,1161,59660,31230,1.559,0.01946,0.433,0.2055
Norway,2013,385,370,17370,10320,1.041,0.0213,0.4888,0.2176
Norway,2014,442,388,18690,10550,1.139,0.02076,0.4871,0.2186
Norway,2016,510,365,21260,11290,1.397,0.01717,0.469,0.2406
Norway,2017,611,452,22590,11940,1.352,0.02001,0.4579,0.2537
Norway,2018,789,488,23670,12230,1.617,0.02062,0.4677,0.2476
Norway,2019,963,531,25130,12510,1.814,0.02113,0.4736,0.2451
Peru,2018,146,64,8787,1643,2.281,0.007283,0.326,0.4219
Peru,2019,193,72,10850,2380,2.681,0.006635,0.3389,0.406
Peru,2020,268,84,12690,3064,3.19,0.006618,0.3363,0.4181
Peru,2021,337,130,15560,4073,2.592,0.008356,0.3353,0.4452
Philippines,2018,313,94,5565,2327,3.33,0.01689,0.4345,0.3288
Poland,2013,1145,1171,61930,28950,0.9778,0.01891,0.5296,0.3166
Poland,2014,1296,1213,68500,30170,1.068,0.01771,0.5233,0.3298
Poland,2015,1666,1321,74940,31620,1.261,0.01763,0.5091,0.3407
Poland,2016,1711,1285,76750,33120,1.332,0.01674,0.492,0.3562
Poland,2017,1800,1214,78130,32730,1.483,0.01554,0.4645,0.3778
